Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Color options,Rear brakes,Starter,Alternate seat height,Valves per cylinder,Comments,Ground clearance,Lubrication system,Clutch,Exhaust system,Frame type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Front suspension,Rear suspension,Overall length,Diameter,Max RPM,Front tire,Rear tire,Reserve fuel capacity,Modifications compared to previous model,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,"Weight incl. oil, gas, etc",Oil capacity,Factory warranty,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Driveline,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Belt teeth,Belt width,Engine details,Overall height,Overall width,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Yamaha XJ 900 S Diversion,2000,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",892.0 ccm (54.43 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8250 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 7000 RPM,200.0 km/h (124.3 mph),Air,5-speed,Chain   (final drive),Dual disc,239.0 kg (526.9 pounds),0.3766 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",1470 mm (57.9 inches),20.00 litres (5.28 US gallons),"Blue, red, green",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Quota 1100 ES,2000,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 6400 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 3800 RPM,,Air,5-speed,,Dual disc,245.0 kg (540.1 pounds),0.2857 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTR 1000 F Firestorm,2000,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",110.0 HP (80.3  kW)) @ 9000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 7000 RPM,250.0 km/h (155.3 mph),Liquid,6-speed,Chain   (final drive),Dual disc,192.0 kg (423.3 pounds),0.5729 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),16.00 litres (4.23 US gallons),"Red, black, blue, orange",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 1000 R Thunderace,2000,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",145.0 HP (105.8  kW)) @ 10000 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 8500 RPM,,Liquid,5-speed,Chain   (final drive),Dual disc,198.0 kg (436.5 pounds),0.7323 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",1435 mm (56.5 inches),19.00 litres (5.02 US gallons),,Single disc,Electric,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Intruder 125,2000,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"V2, four-stroke",13.0 HP (9.5  kW)) @ 10500 RPM,,110.0 km/h (68.4 mph),Air,5-speed,Chain   (final drive),Single disc,140.0 kg (308.6 pounds),0.0929 HP/kg,,,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650 ST Strada,2000,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5200 RPM,161.0 km/h (100.0 mph),Liquid,5-speed,Chain   (final drive),,176.0 kg (388.0 pounds),0.2727 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),17.00 litres (4.49 US gallons),"Blue, orange, red",Single disc,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 900 - Monster 900 Dark - Monster 900 City - Monster 900 Cromo - Monster 900 Special,2000,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",78.0 HP (56.9  kW)) @ 8250 RPM,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs) @ 6750 RPM,210.0 km/h (130.5 mph),Air,6-speed,,Dual disc,185.0 kg (407.9 pounds),0.4216 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),16.50 litres (4.36 US gallons),,Single disc,,,,,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RS100,2000,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 8500 RPM,,,Air,4-speed,Chain   (final drive),,,,,,10.00 litres (2.64 US gallons),"Red,Blue,Black",,,,,,,Autolube,Wet multiplate,Single stainless steel pipe,,,,Carburettor. Mikuni VM20,,CDI,,,,,,,,,,,,,,,1.20 litres (1.27 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda X-Eleven,2000,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1137.0 ccm (69.38 cubic inches),"In-line four, four-stroke",140.0 HP (102.2  kW)) @ 9000 RPM,116.0 Nm (11.8 kgf-m or 85.6 ft.lbs) @ 7000 RPM,230.0 km/h (142.9 mph),Liquid,5-speed,,Dual disc,222.0 kg (489.4 pounds),0.6306 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),22.00 litres (5.81 US gallons),"Black, red, blue",Single disc,Electric,,,The X-Eleven's engine is a tuned-down version of the one found in the XX.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 650 S,2000,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",654.0 ccm (39.91 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 9000 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 7500 RPM,200.0 km/h (124.3 mph),Liquid,6-speed,,Single disc,169.0 kg (372.6 pounds),0.4142 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),16.00 litres (4.23 US gallons),"Yellow, blue",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 400 E,2000,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),,,Liquid,5-speed,Chain   (final drive),Single disc,119.0 kg (262.4 pounds),0.4202 HP/kg,"935 mm (36.8 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),10.00 litres (2.64 US gallons),,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R6,2000,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)) @ 13000 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 11500 RPM,260.0 km/h (161.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,169.0 kg (372.6 pounds),0.7101 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",1380 mm (54.3 inches),17.00 litres (4.49 US gallons),"Red/white, blue",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Raptor 1000,2000,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",106.0 HP (77.4  kW)) @ 8500 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 7000 RPM,220.0 km/h (136.7 mph),Liquid,6-speed,Chain   (final drive),Dual disc,192.0 kg (423.3 pounds),0.5521 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),18.00 litres (4.76 US gallons),"Red, silver",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,The Raptor's engine is retrieved from the Suzuki TL 1000 R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 640 LC4 Adventure R,2000,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 7000 RPM,52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 5500 RPM,165.0 km/h (102.5 mph),Liquid,5-speed,,Single disc,154.0 kg (339.5 pounds),0.3182 HP/kg,"955 mm (37.6 inches) If adjustable, lowest setting.",1510 mm (59.4 inches),28.00 litres (7.40 US gallons),Orange/blue,Single disc,Electric,,,,375 mm (14.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 SE,2000,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 6400 RPM,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 4600 RPM,150.0 km/h (93.2 mph),,5-speed,Chain   (final drive),Single disc,147.0 kg (324.1 pounds),0.2857 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,13.00 litres (3.43 US gallons),,Single disc,Electric,"890 mm (35.0 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 RS,2000,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 7250 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 5500 RPM,,,5-speed,,Dual disc,216.0 kg (476.2 pounds),0.4167 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,Single disc,,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1300,2000,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1250.0 ccm (76.28 cubic inches),"In-line four, four-stroke",107.0 HP (78.1  kW)) @ 8000 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 6000 RPM,210.0 km/h (130.5 mph),Oil & air,5-speed,,Dual disc,230.0 kg (507.1 pounds),0.4652 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),21.00 litres (5.55 US gallons),,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHT Electra Glide Standard,2000,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1499.0 ccm (91.47 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5200 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,165.0 km/h (102.5 mph),Air,5-speed,Belt   (final drive),Dual disc,345.0 kg (760.6 pounds),0.1942 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",1612 mm (63.5 inches),18.90 litres (4.99 US gallons),Black,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati SS 750 Super Sport,2000,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 8500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 6000 RPM,205.0 km/h (127.4 mph),Air,5-speed,,Dual disc,183.0 kg (403.4 pounds),0.3497 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1405 mm (55.3 inches),16.00 litres (4.23 US gallons),"Red, yellow",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California 1100 Special,2000,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 6400 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5000 RPM,190.0 km/h (118.1 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,254.0 kg (560.0 pounds),0.2913 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1560 mm (61.4 inches),19.00 litres (5.02 US gallons),,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 996 SPS,2000,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",123.0 HP (89.8  kW)) @ 9500 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 7000 RPM,270.0 km/h (167.8 mph),Liquid,6-speed,,Dual disc,187.0 kg (412.3 pounds),0.6578 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),17.00 litres (4.49 US gallons),Red,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F2 Seven-Fifty,2000,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",73.0 HP (53.3  kW)) @ 8500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 7500 RPM,190.0 km/h (118.1 mph),Air,5-speed,Chain   (final drive),Dual disc,215.0 kg (474.0 pounds),0.3395 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,,"Black, red",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 1100 Drag Star,2000,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 5750 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 2500 RPM,160.0 km/h (99.4 mph),Air,5-speed,,Dual disc,261.0 kg (575.4 pounds),0.2375 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",1640 mm (64.6 inches),17.00 litres (4.49 US gallons),"Black, red",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 250 Master - Tempo,2000,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",26.0 HP (19.0  kW)) @ 7000 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,Liquid,5-speed,,Single disc,132.0 kg (291.0 pounds),0.1970 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,17.00 litres (4.49 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VL 1500 LC Intruder,2000,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1462.0 ccm (89.21 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 4800 RPM,114.0 Nm (11.6 kgf-m or 84.1 ft.lbs) @ 2300 RPM,,,5-speed,,,296.0 kg (652.6 pounds),0.2264 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,15.50 litres (4.10 US gallons),,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 1200,2000,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1180.0 ccm (72.00 cubic inches),"In-line four, four-stroke",108.0 HP (78.8  kW)) @ 9000 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 5000 RPM,,,6-speed,Chain   (final drive),Dual disc,235.0 kg (518.1 pounds),0.4596 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 C Shadow Spirit,2000,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",,,,Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc. twin piston caliper,252.2 kg (556.0 pounds),,"729 mm (28.7 inches) If adjustable, lowest setting.",1651 mm (65.0 inches),15.89 litres (4.20 US gallons),"Black, Twilight Silver/black, American Red/Black",Expanding brake (drum brake). mechanical drum,Electric,,3,Great bikes. I´ve owned two of them.,,Wet sump,Wet multi-plate,Chrome Staggered Duals,Steel tubular,8.0:1,87.5 x 91.4 mm (3.4 x 3.6 inches),Carburettor. Two 36mm CV Keihin,Overhead Cams (OHC),Digital two Plugs per Cylynder,41mm fork,Dual shocks with five-position adjustable,,,,110/90-19 ,170/80-15 ,2.27 litres (0.60 US gallons),American Red/Black replaced Blaze Yellow/Black as a color option,32.0°,153 mm (6.0 inches),160 mm (6.3 inches),99 mm (3.9 inches),,,,5.88 litres/100 km (17.0 km/l or 40.00 mpg),136.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Honda CBZ,2000,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",156.8 ccm (9.57 cubic inches),"Single cylinder, four-stroke",17.2 HP (12.5  kW)),12.5 Nm (1.3 kgf-m or 9.2 ft.lbs),125.0 km/h (77.7 mph),Air,5-speed,Chain   (final drive),Single disc,135.0 kg (297.6 pounds),0.1271 HP/kg,,,13.00 litres (3.43 US gallons),"Silver, Blue, Red, Black
",Expanding brake (drum brake),,,2,,,Wet Sump,Wet,Single Coated stainless steel pipe,Single Chassi,8.5:1,,Carburettor. Keihin 22mm slide type carburettor,Single Overhead Cams (SOHC),Digital,Telescopic hydraulic fork,Swing arm with hydraulic damper- 5-step adjustment,,,,,,2.00 litres (0.53 US gallons),"New Electric start added. New fairings.
",24.0°,,,,145.0 kg (319.7 pounds),,,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YP Majesty 250 DX,2000,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 6500 RPM,23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 5500 RPM,120.0 km/h (74.6 mph),Liquid,,,,147.0 kg (324.1 pounds),0.1361 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",1535 mm (60.4 inches),12.50 litres (3.30 US gallons),,,,,,Can be delivered with ABS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Classic Tourer Fi,2000,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 4700 RPM,113.0 Nm (11.5 kgf-m or 83.3 ft.lbs) @ 2800 RPM,170.0 km/h (105.6 mph),Liquid,6-speed,,Single disc,335.0 kg (738.5 pounds),0.1910 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",1665 mm (65.6 inches),16.00 litres (4.23 US gallons),"Red, green",,Electric,,,,,,,,,,,Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ 1000 Police,2000,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",,"In-line four, four-stroke",,,212.0 km/h (131.7 mph),Air,,Chain   (final drive),Double disc,,,,,16.70 litres (4.41 US gallons),,Single disc,Electric,,,,,,,,,,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory V92SC,2000,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1507.0 ccm (91.96 cubic inches),"V2, four-stroke",,,,,5-speed,Belt   (final drive),Dual disc,289.0 kg (637.1 pounds),,"734 mm (28.9 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM 604 R,2000,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",597.0 ccm (36.43 cubic inches),"Single cylinder, four-stroke",,,,,5-speed,,Single disc,138.0 kg (304.2 pounds),,"840 mm (33.1 inches) If adjustable, lowest setting.",1482 mm (58.3 inches),20.00 litres (5.28 US gallons),,Single disc,,,,The 604 engine is produced by Rotax.,,,,,,,,,,,,,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-7R Ninja,2000,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",126.0 HP (92.0  kW)) @ 11800 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 9300 RPM,245.0 km/h (152.2 mph),Liquid,6-speed,Chain   (final drive),Dual disc,203.0 kg (447.5 pounds),0.6207 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,"Green, black, red",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 13 TFL MM Limited,2000,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",98.0 HP (71.5  kW)),,193.1 km/h (120.0 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),Double disc. 2 Piston Calipers,366.0 kg (806.9 pounds),0.2678 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",1705 mm (67.1 inches),22.50 litres (5.94 US gallons),Pearl White/Ivory two-tone with tan seats,Single disc. 4 Piston Caliper,Electric,,4,The MM Limited Royal Star Venture is a numbered limited edition model with a plaque on the trunk indicating the individual production number as ´xxxx of 1500´.,155 mm (6.1 inches),Wet Sump,"Wet, multiple-disc",4 into 2,Double Cradle with solid mounted engine used as frame member.,10.0:1,79.0 x 66.0 mm (3.1 x 2.6 inches),Carburettor. Mikuni 32mm /4,Double Overhead Cams/Twin Cam (DOHC),Digital TCI,Air adjustable 0 to 7.1psi,"Monoshock, air adjustable 0 to 57psi",2655 mm (104.5 inches),320 mm (12.6 inches),,150/80-16 ,150/90-15 ,3.50 litres (0.92 US gallons),,29.1°,152 mm (6.0 inches),140 mm (5.5 inches),105 mm (4.1 inches),394.0 kg (868.6 pounds),,,5.88 litres/100 km (17.0 km/l or 40.00 mpg),136.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,1565 mm (61.6 inches),900 mm (35.4 inches),,,,
Harley-Davidson FLHTCUI Ultra Classic Electra Glide,2000,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1499.0 ccm (91.47 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5200 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,155.0 km/h (96.3 mph),Air,5-speed,Belt   (final drive),Dual disc,385.0 kg (848.8 pounds),0.1740 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",1612 mm (63.5 inches),18.90 litres (4.99 US gallons),"Black, red, blue, blue/gray, orange/gray, red/black, green/black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
