Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Fuel system,Torque,1/4 mile (0.4 km),Max RPM,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Oil capacity,Color options,Starter,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Rear percentage of weight,Alternate seat height,Comments,Modifications compared to previous model,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Chain links,Sprockets,Seat,Instruments,Electrical,Light,Carrying capacity,Wheels,Engine details,Battery,Driveline
Honda CBX 550 F 2 (reduced effect),1985,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,185.0 km/h (115.0 mph),9.5:1,59.2 x 52.0 mm (2.3 x 2.0 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Dual disc,Single disc,213.0 kg (469.6 pounds),18.00 litres (4.76 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 450 LTD (reduced effect),1985,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",454.0 ccm (27.70 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8500 RPM,132.0 km/h (82.0 mph),10.7:1,72.5 x 55.0 mm (2.9 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake,199.0 kg (438.7 pounds),11.00 litres (2.91 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 600 E,1985,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",564.0 ccm (34.42 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,146.0 km/h (90.7 mph),9.5:1,96.0 x 78.0 mm (3.8 x 3.1 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,155.0 kg (341.7 pounds),11.50 litres (3.04 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 500 Sei-V Klassik,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,155.0 km/h (96.3 mph),11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.00-18 ,Dual disc,Single disc,180.0 kg (396.8 pounds),16.00 litres (4.23 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Interpool 2,1985,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,588.0 ccm (35.88 cubic inches),"Twin, four-stroke",114.0 HP (83.2  kW)) @ 9000 RPM,,9.0:1,,,Air,,Chain   (final drive),100/90-18 ,110/80-18 ,Double disc,Single disc,253.0 kg (557.8 pounds),22.50 litres (5.94 US gallons),,,75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 7000 RPM,,,,,"Wet, multiplate",,,,,,,38mm Telecopic Forks,,Twin Girling Gas Units 3-Way Preload,,265 mm (10.4 inches),,,,,1805 mm (71.1 inches),710 mm (28.0 inches),,1486 mm (58.5 inches),,,"White, Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Type 638.5 (with sidecar),1985,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,343.0 ccm (20.93 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 5500 RPM,100.0 km/h (62.1 mph),10.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,225.0 kg (496.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 600 HWE Safari,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7700 RPM,140.0 km/h (87.0 mph),9.8:1,94.0 x 81.0 mm (3.7 x 3.2 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-21 ,4.50-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),28.00 litres (7.40 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 350 Typ 472.6,1985,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",350.0 ccm (21.36 cubic inches),"Twin, two-stroke",22.0 HP (16.1  kW)) @ 5000 RPM,135.0 km/h (83.9 mph),9.2:1,,Port control,Air,4-speed,Chain   (final drive),-R18 ,-R18 ,Expanding brake (drum brake). Two-side expantion,Expanding brake (drum brake). One-side expantion,,18.00 litres (4.76 US gallons),,Carburettor. Jikov,,,6500,Mechanical,2-stroke,Wet multyplate with automatic gearchange engagement,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Two reactive scilencer chrome pipes (one per cyl.),Steel pipe closed type,,,Inverted forks,,Dualshock with swingarm,,,180.0 kg (396.8 pounds),0.1222 HP/kg,,,,,,,3.00 litres (0.79 US gallons),,"Light red, dark red",Kick,,,,,,"A very prolific, multifunctional and sturdy bike of the eastern block.It was also produced in vast numbers in China and India. In fact some speculate it is the most prolific bike ever made. It owes its sucsess to its simplicity, cheapness and multifunctionality. It has a simple, but reasonably reliable two cilinder, two stroke engine. Has a sidecar option. Altho simple the bike is far from primitive. It has good, modern looks, for its time, it is also fairly fueleficient. This bike was intended to fill the most important role in the Warsaw-pact market-the large engine long-distance multifunctional platform (called nowadays touring, plus a bit of offroad and heavy hauling capabilities). The CZ 350 has very simple, altho fairly frequent maintenance requirements, witch if conducted properly make it virtualy imposible for the bike to give you any seruous trouble. The engine has a short life-expectancy, witch is originaly counterbalanced by the avaylability and lo-price of spare engines. It is also intended for someone to be able to change, or repair the engine in his owne backyard with only a screwdriver, wrenches and minimal expirience. The platforme is a successor of previous CZ 350 engines from the 60´s. In fact it has little more in diferant with them than looks. The original 350 of that generation-Type 472.1 came out in the 70´s. All throu to Typ 472.6, nothing changes exept suspention, an added RPM meter, a 12V alternator instead of the 6V dinamlo and some sattle, tank and taillight details. It was in production untill 1990. Altho outdated in Europe, this model is still very popular, or at least numerous in India, China and Mongoli, being used as a workhorse in rural areas, or as fast transport in cityes. The Tyo 472.6 only came in two varyations - light red eith black pinstripes or red with white stripes. Curiously the light variant had a different front fender lead for the front brake whire than the dark version.","Minor cosmetic changes over all previous models from the 472.1 to 472.5, over witch a 12V alternator upgrade and a different dashboard with anRPM gage, while all else was kept identical.",,,,,,,,,,,,,,,,,,,,
Benelli 654 T,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,604.0 ccm (36.86 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8700 RPM,172.0 km/h (106.9 mph),9.3:1,60.0 x 53.4 mm (2.4 x 2.1 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,203.0 kg (447.5 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda MTX 200 R,1985,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",194.0 ccm (11.84 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,118.0 km/h (73.3 mph),7.1:1,67.0 x 55.0 mm (2.6 x 2.2 inches),Membrane,Liquid,6-speed,Chain   (final drive),2.75-21 ,4.10-18 ,Single disc,Expanding brake,114.0 kg (251.3 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ700XN,1985,Custom / cruiser," 4.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",697.0 ccm (42.53 cubic inches),"In-line four, four-stroke",,217.3 km/h (135.0 mph),11.2:1,68.0 x 48.0 mm (2.7 x 1.9 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-19 57H ,130/90-16 67 ,Double disc. Right hand operation,Expanding brake (drum brake). Right foot operation,224.0 kg (493.8 pounds),13.00 litres (3.43 US gallons),5,Carburettor. BS33/4/Mikuni,,11.79 seconds,,T.C.I.,Wet sump,Wet multiple-disc,5.29 litres/100 km (18.9 km/l or 44.47 mpg),122.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Four into two,"Tubular, steel double cradle",31.5°,120 mm (4.7 inches),Telescopic Fork,150 mm (5.9 inches),Swingarm,99 mm (3.9 inches),,224.1 kg (494.0 pounds),,"760 mm (29.9 inches) If adjustable, lowest setting.",1160 mm (45.7 inches),2230 mm (87.8 inches),775 mm (30.5 inches),145 mm (5.7 inches),1520 mm (59.8 inches),3.00 litres (0.79 US gallons),,"Black, Red, Blue",Electric,5.04 seconds,3.20 seconds,50.0,50.0,"749 mm (29.5 inches) If adjustable, highest setting.","For the 1985 model year the U.S. imposed an embargo on foreign made (maybe Japanese only) motorcycles imported into the U.S. to boost the ailing American Harley Davidson Motorcycle company. This embargo charged heavy tariffs on all imported bikes above 700 ccs. Yamaha, in an effort to keep sales up and avoid excess taxation, downsized the XJ750 and came up with the XJ700N. It had many of the same features of it´s slightly larger cousin but did not exceed the 700 cc limit. In late 1986, U.S. Courts rules the embargo illegal and cancelled it. This is why the Maxim 700 was only available in 85 and 86. Owners of Maxim 700s now sort of own a piece of U.S. Legal history, and a ´limited edition´ (so to speak) bike.",1st year production of two years. 11.79 sec @ 112.82 mph Quater mile,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 550 EU,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9600 RPM,182.0 km/h (113.1 mph),8.6:1,60.0 x 50.6 mm (2.4 x 2.0 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,211.0 kg (465.2 pounds),18.00 litres (4.76 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1000 F (reduced effect),1985,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,225.0 km/h (139.8 mph),10.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),100/90-18 ,140/80-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),23.00 litres (6.08 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 900 R (reduced effect),1985,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",908.0 ccm (55.41 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,240.0 km/h (149.1 mph),11.0:1,72.5 x 55.0 mm (2.9 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,257.0 kg (566.6 pounds),22.00 litres (5.81 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RX 125,1985,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",34.0 HP (24.8  kW)) @ 10750 RPM,130.0 km/h (80.8 mph),14.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Membrane,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,91.0 kg (200.6 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 N,1985,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,125.0 km/h (77.7 mph),9.4:1,62.0 x 41.4 mm (2.4 x 1.6 inches),Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Single disc,Expanding brake,186.0 kg (410.1 pounds),14.00 litres (3.70 US gallons),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GME 500,1985,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",488.0 ccm (29.78 cubic inches),"Single cylinder, two-stroke",61.0 HP (44.5  kW)) @ 7000 RPM,,12.0:1,86.5 x 83.0 mm (3.4 x 3.3 inches),Membrane,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.10-18 ,Single disc,Expanding brake,109.0 kg (240.3 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 350 HWE Safari,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7900 RPM,130.0 km/h (80.8 mph),9.2:1,79.5 x 70.0 mm (3.1 x 2.8 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-21 ,4.50-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),28.00 litres (7.40 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 500 LC,1985,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"V4, two-stroke",88.0 HP (64.2  kW)) @ 9500 RPM,223.0 km/h (138.6 mph),6.6:1,56.4 x 50.0 mm (2.2 x 2.0 inches),Membrane & power valve,Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,216.0 kg (476.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 EF,1985,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1135.0 ccm (69.26 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8100 RPM,230.0 km/h (142.9 mph),9.7:1,74.0 x 66.0 mm (2.9 x 2.6 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-16 ,130/90-17 ,Dual disc,Single disc,256.0 kg (564.4 pounds),20.00 litres (5.28 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTC 1340 (with sidecar),1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,125.0 km/h (77.7 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT 90-16 ,MT 90-16 ,Dual disc,Single disc,"479.0 kg (1,056.0 pounds)",19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garelli XR 125 Tiger,1985,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",20.0 HP (14.6  kW)) @ 9500 RPM,130.0 km/h (80.8 mph),,,Membrane,Liquid,6-speed,Chain   (final drive),"3,00-21 ",120-18 ,Single disc. 2-piston,Expanding brake (drum brake),130.0 kg (286.6 pounds),15.00 litres (3.96 US gallons),,Carburettor,,,11000,,,wet,6.00 litres/100 km (16.7 km/l or 39.20 mpg),139.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,iron,,,,,,,125 mm (4.9 inches),100.0 kg (220.5 pounds),0.2000 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),2145 mm (84.4 inches),840 mm (33.1 inches),,1380 mm (54.3 inches),1.00 litres (0.26 US gallons),,"Black, red",Kick,,,65.0,35.0,"910 mm (35.8 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 SP,1985,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",643.0 ccm (39.24 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6900 RPM,178.0 km/h (110.6 mph),10.0:1,80.0 x 64.0 mm (3.1 x 2.5 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,192.0 kg (423.3 pounds),15.50 litres (4.10 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500,1985,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6600 RPM,161.0 km/h (100.0 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Single disc,Expanding brake,167.0 kg (368.2 pounds),12.00 litres (3.17 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,1985,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,222.0 km/h (137.9 mph),10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,260.0 kg (573.2 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600,1985,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,146.0 km/h (90.7 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),11.00 litres (2.91 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 600 R (reduced effect),1985,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,178.0 km/h (110.6 mph),11.0:1,60.0 x 52.4 mm (2.4 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/90-16 ,130/90-16 ,Dual disc,Single disc,217.0 kg (478.4 pounds),18.00 litres (4.76 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 250F Interga,1985,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"V2, four-stroke",35.0 HP (25.5  kW)) @ 11000 RPM,160.9 km/h (100.0 mph),11.0:1,60.0 x 44.0 mm (2.4 x 1.7 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,,100/90-16 ,120/80-17 ,Single disc. 2 Piston Caliper,Expanding brake (drum brake),,14.00 litres (3.70 US gallons),2,Carburettor,21.5 Nm (2.2 kgf-m or 15.9 ft.lbs) @ 10000 RPM,,14000,,Wet sump,,,,,Aluminium Frame,26.0°,97 mm (3.8 inches),,,,,,149.0 kg (328.5 pounds),0.2349 HP/kg,,1185 mm (46.7 inches),2028 mm (79.8 inches),730 mm (28.7 inches),,1385 mm (54.5 inches),,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RG 500 Gamma,1985,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"In-line four, two-stroke",95.0 HP (69.3  kW)) @ 9500 RPM,228.0 km/h (141.7 mph),7.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Rotary valves,Liquid,6-speed,Chain   (final drive),110/90-16 ,120/90-17 ,Dual disc,Single disc,181.0 kg (399.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 125 Enduro Sport,1985,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",6.8 HP (5.0  kW)) @ 6500 RPM,83.0 km/h (51.6 mph),14.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Membrane,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,109.0 kg (240.3 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motobi 254,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10600 RPM,156.0 km/h (96.9 mph),10.5:1,44.0 x 38.0 mm (1.7 x 1.5 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,130.0 kg (286.6 pounds),8.00 litres (2.11 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GB 250 Clubman,1985,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",30.0 HP (21.9  kW)) @ 9500 RPM,152.9 km/h (95.0 mph),,,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-18 ,110/90-18 ,Single disc. 2 piston,Expanding brake (drum brake),,17.00 litres (4.49 US gallons),4,Carburettor. Twin Keihin 28.5mm,,,10250,,Wet sump,,3.61 litres/100 km (27.7 km/l or 65.16 mpg),83.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double chrome pipes,,,,,,Twin shock,,,130.0 kg (286.6 pounds),0.2308 HP/kg,,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 500 C,1985,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",491.0 ccm (29.96 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,177.0 km/h (110.0 mph),10.5:1,71.0 x 62.0 mm (2.8 x 2.4 inches),Single Overhead Cams (SOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-16 ,Single disc. Two-piston calipers. ,Expanding brake,201.0 kg (443.1 pounds),11.50 litres (3.04 US gallons),3,Carburettor. 2 x 32mm Keihin,42.0 Nm (4.3 kgf-m or 31.0 ft.lbs) @ 7000 RPM,,,Electronic,,,,,,,,,"Air-adjustable, leading-axle front forks with front brace",,Pivoted fork dual adjustable shocks,,,183.0 kg (403.4 pounds),0.2732 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,500 mm (19.7 inches),,1490 mm (58.7 inches),,2.50 litres (2.64 US quarts),"Candy Wineberry Red, Black",Electric,,,,,,Also called Honda Shadow.,,SAE 10W-40,DOT 4,2.00 litres (0.53 US gallons),"NGK DPR8EA-9, NGK DPR8EIX-9",1100  +/- 100  RPM,29 PSI (2 Bar or 200 kPa),29 PSI (2 Bar or 200 kPa),37 mm (1.5 inches),HiFlo HF202,,,,,,,,,,Yuasa YB12A-A,
Puch 350 HWE,1985,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7900 RPM,130.0 km/h (80.8 mph),9.2:1,79.5 x 70.0 mm (3.1 x 2.8 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-21 ,4.50-18 ,Single disc,Expanding brake,132.0 kg (291.0 pounds),10.00 litres (2.64 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
