Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Front percentage of weight,Rear percentage of weight,Seat height,Wheelbase,Fuel capacity,Color options,Starter,Comments,Valves per cylinder,Overall height,Overall length,Overall width,Lubrication system,Front wheel travel,Rear wheel travel,Ground clearance,Oil capacity,0-100 km/h (0-62 mph),"Weight incl. oil, gas, etc",Reserve fuel capacity,Max RPM,Alternate seat height,Modifications compared to previous model,Electrical,Driveline,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Fork tube size,Battery,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Wheels,Seat,Factory warranty,Instruments,Engine details
MV Agusta F4 R312,2009,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",183.0 HP (133.6  kW)) @ 12400 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 10000 RPM,300.0 km/h (186.4 mph),13.1:1,76.0 x 55.0 mm (3.0 x 2.2 inches),"Injection. “Weber Marelli” 5SM ignition - injection integrated system; induction discharge electronic ignition, “Multipoint” sequential timed electronic injection",Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Chain   (final drive),,,,,,,104 mm (4.1 inches),Upside-down telescopic hydraulic fork with rebound-compression damping and spring preload adjustment,"Progressive, single shock absorber with rebound compression damping and spring preload",120/70-ZR17 ,190/55-ZR17 ,Double disc,210 mm (8.3 inches),Single disc,192.0 kg (423.3 pounds),0.9531 HP/kg,,,"810 mm (31.9 inches) If adjustable, lowest setting.",1408 mm (55.4 inches),21.00 litres (5.55 US gallons),"Gray/red, pearl/black",Electric,,4,,2007 mm (79.0 inches),685 mm (27.0 inches),,129 mm (5.1 inches),120 mm (4.7 inches),130 mm (5.1 inches),,,,4.00 litres (1.06 US gallons),13000,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Atlantic 400 Sprint,2009,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",33.5 HP (24.5  kW)),,,10.5:1,,Injection. Electronic fuel injection,Single Overhead Cams (SOHC),Electronic CDI with automatic advance,Liquid,Automatic,,Automatic centrifugal dry clutch,,,,High-strength tubular steel frame with closed double cradle,,,35 mm hydraulic fork. Wheel travel 105 mm,Engine acting as swingarm. Two gas filled shock absorbers with 5 position spring preload adjustment. Wheel travel 90 mm,120/70-14 ,120/70-14 ,Single disc,190 mm (7.5 inches),Single disc,199.0 kg (438.7 pounds),0.1684 HP/kg,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1550 mm (61.0 inches),15.00 litres (3.96 US gallons),"Excalibur Grey, Competition Black, Planet Blue",Electric,,4,1370 mm (53.9 inches),2200 mm (86.6 inches),815 mm (32.1 inches),Wet sump. Forced lubrication with mechanical oil pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha AeroxR,2009,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",2.7 HP (2.0  kW)) @ 6500 RPM,3.7 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 4500 RPM,,7.4:1,40.0 x 39.2 mm (1.6 x 1.5 inches),,,CDI,Liquid,Automatic,Belt   (final drive),,,,,,,,Telescopic fork,Unit swing,130/60-13 ,140/60-13 ,Single disc,190 mm (7.5 inches),Single disc,,,,,"828 mm (32.6 inches) If adjustable, lowest setting.",1256 mm (49.4 inches),7.00 litres (1.85 US gallons),,Electric & kick,,,1170 mm (46.1 inches),1743 mm (68.6 inches),690 mm (27.2 inches),Separate lubrication,80 mm (3.1 inches),60 mm (2.4 inches),185 mm (7.3 inches),,,97.0 kg (213.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
NCR New Blue,2009,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",116.0 HP (84.7  kW)) @ 8450 RPM,,,,,Injection,,,,6-speed,Chain   (final drive),NCR CORSE by Aptc custom slipper clutch system,,,,Tubular trellis in steel Ducati Sport 1000 S model,24.0°,,"Ohlins 43 mm upside-down fork with TiN surface treatment, adjustable off-set, for radial calipers with NCR CORSE aluminum bottom bracket from billet, tuned by NCR CORSE",Progressive linkage with fully adjustable Ohlins monoshock with length adjustment. Tuned by NCR CORSE.,120/70-17 ,190/55-17 ,Double disc. Wave/Bremo,200 mm (7.9 inches),Single disc. Wave/Bremo,125.0 kg (275.6 pounds),0.9280 HP/kg,,,,1400 mm (55.1 inches),15.00 litres (3.96 US gallons),"Blue/white, Silver/pearl",Electric,Limited production of 50 numbered motorcycles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rucker Performance Predator,2009,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",2032.1 ccm (124.00 cubic inches),"V2, four-stroke",121.0 HP (88.3  kW)),,,,,Injection. S and S Super G Carb Induction System,,S and S IST,,6-speed,Belt   (final drive),,,,,"Soft-tail, Rucker Performance",42.0°,,Billet Lower,Soft-tail Style Shocks,120/70-21 ,300-18 ,Double disc. Soft-tail Style,,Single disc. Soft-tail Style,,,,,,,,Custom colors,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Track T-800CDI Diesel,2009,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",800.0 ccm (48.82 cubic inches),Diesel,53.6 HP (39.2  kW)) @ 3750 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 1850 RPM,,18.0:1,,Turbo,,,,Automatic,Shaft drive (cardan)   (final drive),Centrifugal,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Chrome Molybden,,,WP-upsidedown 48mm,Monoshock,,,Double disc. Optional ABS,265 mm (10.4 inches),Single disc. Optional ABS,225.0 kg (496.0 pounds),0.2384 HP/kg,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1610 mm (63.4 inches),22.50 litres (5.94 US gallons),"Black, Silver (aluminum)",Electric,Optional two wheel drive system. Adventure tourer with 3 cylinder diesel engine produced in the Netherlands by Evaproducts. The engine can also be run on biodiesel and vegetable oil.,2,,2450 mm (96.5 inches),900 mm (35.4 inches),,210 mm (8.3 inches),210 mm (8.3 inches),,,4.25 seconds,,,,"900 mm (35.4 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,
Lifan LF125-7D,2009,Allround," 2.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,8.2 Nm (0.8 kgf-m or 6.0 ft.lbs) @ 7500 RPM,,10.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),,,C.D.I,Air,5-speed,Chain   (final drive),Wet multi-plate,,,CO and #8804;3.8% and #65307;HC and #8804;800ppm,,,,Telescopic fork,Swing arm,2.75-18 ,110/90-16 ,Single disc,,Expanding brake (drum brake),125.0 kg (275.6 pounds),,,,"700 mm (27.6 inches) If adjustable, lowest setting.",1300 mm (51.2 inches),12.00 litres (3.17 US gallons),,Electric & kick,,,,1990 mm (78.3 inches),,Pressure/splash,,,160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic XOR 125,2009,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",5.9 HP (4.3  kW)) @ 7000 RPM,8.3 Nm (0.8 kgf-m or 6.1 ft.lbs) @ 6500 RPM,,,,Carburettor,,,,Automatic,Belt   (final drive),Variomatic,,,,,,,,,120/70-12 ,130/70-12 ,,,,105.0 kg (231.5 pounds),0.0562 HP/kg,,,,1280 mm (50.4 inches),6.00 litres (1.59 US gallons),"White, blue, black",Electric & kick,,,1085 mm (42.7 inches),1770 mm (69.7 inches),702 mm (27.6 inches),Forced feed lubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Bullet Machismo,2009,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5600 RPM,27.5 Nm (2.8 kgf-m or 20.3 ft.lbs) @ 3000 RPM,110.0 km/h (68.4 mph),7.3:1,70.0 x 90.0 mm (2.8 x 3.5 inches),Carburettor. CV BS26,Overhead Valves (OHV),TCI,Air,5-speed,Chain   (final drive),,,,,,,,Telescopic With Hydraulic Damping,Swing Arm With Gas Shock Absorbers,3.25-19 ,3.50-19 ,Single disc,152 mm (6.0 inches),Expanding brake (drum brake),163.0 kg (359.4 pounds),0.1104 HP/kg,,,"772 mm (30.4 inches) If adjustable, lowest setting.",1370 mm (53.9 inches),14.50 litres (3.83 US gallons),"Black, silver",Kick,Royal Enfield bikes are made in India.,,1080 mm (42.5 inches),2120 mm (83.5 inches),750 mm (29.5 inches),Dry sump,,,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GV125C,2009,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"V2, four-stroke",14.2 HP (10.4  kW)) @ 10500 RPM,,,,,Carburettor. Mikuni BDS 26,,,Oil & air,5-speed,,Wet Multi-Plate Type,,,,,,,Telescopic,Swing Arm,110/90-16 ,130/90-M15 ,Single disc,,Expanding brake (drum brake),157.0 kg (346.1 pounds),0.0904 HP/kg,,,"700 mm (27.6 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),14.00 litres (3.70 US gallons),"Orange/black, grey/black, red/black, black",Electric,,4,1090 mm (42.9 inches),2270 mm (89.4 inches),800 mm (31.5 inches),,,,155 mm (6.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM CR-40,2009,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)),,,12.2:1,90.0 x 62.6 mm (3.5 x 2.5 inches),Carburettor. Keihin FCR39,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (CDI),Liquid,,,,,,,,,,Marzocchi conventional 40mm,Hagon twin shocks,,,Single disc,260 mm (10.2 inches),Single disc,120.0 kg (264.6 pounds),0.3500 HP/kg,,,"840 mm (33.1 inches) If adjustable, lowest setting.",,14.00 litres (3.70 US gallons),,Electric,,,,,,Dry Sump,300 mm (11.8 inches),335 mm (13.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJS Regal-Raptor Eos-125,2009,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.6 ccm (7.60 cubic inches),"Twin, four-stroke",11.0 HP (8.0  kW)) @ 9500 RPM,,,,44.0 x 40.0 mm (1.7 x 1.6 inches),Carburettor,Overhead Cams (OHC),CDI,Liquid,5-speed,Chain   (final drive),"Wet, multiplate",,,Euro III,,,,Telescopic fork,Twin shocks,80/90-21 ,160/80-16 ,Double disc,,Single disc,114.0 kg (251.3 pounds),0.0965 HP/kg,,,"640 mm (25.2 inches) If adjustable, lowest setting.",1860 mm (73.2 inches),14.00 litres (3.70 US gallons),Black,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Intruder M800Z,2009,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",,,,9.4:1,83.0 x 74.4 mm (3.3 x 2.9 inches),Injection,Single Overhead Cams (SOHC),Electronic ignition (Transistorised),Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,"Inverted telescopic, coil spring, oil damped","Link type, coil spring, oil damped",130/90-M16 ,170/80-M15 ,Single disc,,Expanding brake (drum brake),247.0 kg (544.5 pounds),,,,"700 mm (27.6 inches) If adjustable, lowest setting.",1655 mm (65.2 inches),15.50 litres (4.10 US gallons),,Electric,,,1125 mm (44.3 inches),2395 mm (94.3 inches),920 mm (36.2 inches),Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bear Choppers Venom 100 Carb,2009,Custom / cruiser," 2.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1638.8 ccm (100.00 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)),,,,,Carburettor. S and S Super E Carburetor,,S and S,,6-speed,Chain   (final drive),,,,,BBC Venom Chopper Softail,40.0°,95 mm (3.8 inches),BBC Smooth Mount Hidden Axle,Progressive,90/80-21 ,250/80-18 ,Single disc. 4-piston calipers,,Single disc.  4-piston caliper BrakeDrive system,321.1 kg (708.0 pounds),0.2958 HP/kg,,,"584 mm (23.0 inches) If adjustable, lowest setting.",2108 mm (83.0 inches),13.72 litres (3.62 US gallons),"Gross Black, satin black, charcoal metallic, silver metallic, black cherry, candy red, firecracker red, orange, electric blue.",Electric,Model also called BBC Venom Choppers 100 SMOOTH™ Carb Evolution. ,,,2743 mm (108.0 inches),,,76 mm (3.0 inches),76 mm (3.0 inches),,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco SM 0.5,2009,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,,,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor,,,Liquid,6-speed,Chain   (final drive),Multidisc in oil bath,,,Steel exhaust system  with aluminum silencer,Chrome-molybdenum tubing  main frame with a removable sub-frame,,,Paioli 41mm dia hydraulic  telescopic fork,"Olle single shock  absorber, adjustable spring preload",2.50-17 ,3.50-17 ,Single disc,,Single disc,83.0 kg (183.0 pounds),,,,"850 mm (33.5 inches) If adjustable, lowest setting.",1360 mm (53.5 inches),7.00 litres (1.85 US gallons),,Kick,Minarelli AM6 engine,,,,,,,,260 mm (10.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Superbike 1098R,2009,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1198.4 ccm (73.13 cubic inches),"V2, four-stroke",180.0 HP (131.4  kW)) @ 9750 RPM,134.4 Nm (13.7 kgf-m or 99.1 ft.lbs) @ 7750 RPM,,12.8:1,106.0 x 67.9 mm (4.2 x 2.7 inches),"Injection. Marelli electronic fuel injection,  elliptical throttle bodies. ",Desmodromic valve control,,Liquid,6-speed,Chain   (final drive),Dry multiplate with hydraulic control slipper clutch ,,,Lightweight 2-1-2 system with catalytic converter and 2 lambda probes. Twin stainless steel and titanium mufflers ,Tubular steel Trellis frame in ALS 450 ,24.5°,,Ohlins 43mm fully adjustable upside-down fork with TiN ,Progressive linkage with fully adjustable Ohlins TTXR monoshock with top-out spring. Aluminium single-sided swingarm ,120/70-ZR17 ,190/55-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,165.0 kg (363.8 pounds),1.0909 HP/kg,,,"820 mm (32.3 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),15.50 litres (4.10 US gallons),Red (Red/Racing Gold),,,,,,,,120 mm (4.7 inches),127 mm (5.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goes 520,2009,ATV," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",493.0 ccm (30.08 cubic inches),"Single cylinder, four-stroke",32.2 HP (23.5  kW)) @ 7000 RPM,36.0 Nm (3.7 kgf-m or 26.6 ft.lbs) @ 5500 RPM,,10.2:1,87.5 x 82.0 mm (3.4 x 3.2 inches),Carburettor. Mikuni BSR 36,Single Overhead Cams (SOHC),C.D.I.,Liquid,5-speed,Belt   (final drive),Wet multiplate.,,,,Automatic cntrifugal,,,"Independent double A-arm,  preload adjustment","Cast aluminium swing arm,  preload adjustable",25/8-12 ,25/10-12 ,Single disc,,Single disc,312.0 kg (687.8 pounds),0.1031 HP/kg,,,,,19.00 litres (5.02 US gallons),Grey,Electric,"4WD, 2WD, reverse, winch.",,1230 mm (48.4 inches),2120 mm (83.5 inches),1170 mm (46.1 inches),,,,290 mm (11.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Xciting 500Ri,2009,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",498.5 ccm (30.42 cubic inches),"Single cylinder, four-stroke",28.2 HP (20.6  kW)) @ 7000 RPM,,,10.5:1,,,Overhead Cams (OHC),,Liquid,,Shaft drive (cardan)   (final drive),,,,,,,,,,120/70-15 ,150/70-14 ,Double disc,220 mm (8.7 inches),Single disc,200.0 kg (440.9 pounds),0.1410 HP/kg,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1570 mm (61.8 inches),12.80 litres (3.38 US gallons),,Electric,,,,,815 mm (32.1 inches),,,,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samurai Chopper Type 5 Shovel,2009,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",,,,10.1:1,101.6 x 114.3 mm (4.0 x 4.5 inches),Carburettor,Overhead Valves (OHV),Semi-transistor,Air,5-speed,Chain   (final drive),,,,,Zero Engineering Original Rigid Goose Neck,,,74 Springer,,5.00-16 ,5.00-16 ,Single disc,,Single disc,240.0 kg (529.1 pounds),,,,"680 mm (26.8 inches) If adjustable, lowest setting.",1600 mm (63.0 inches),8.00 litres (2.11 US gallons),"Smokey Blue/Black, Bright Yellow/Black, Real Black",Electric & kick,Made by Japanese Zero Engineering. S and S engine. Samurai Chopper where formerly named Road Hopper.,,920 mm (36.2 inches),2300 mm (90.6 inches),710 mm (28.0 inches),,,,100 mm (3.9 inches),2.80 litres (2.96 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorhispania RYZ 49 Off Road,2009,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.7 ccm (3.03 cubic inches),"Single cylinder, four-stroke",,,,,,Carburettor. PHBN 12 HS,,,,6-speed,Chain   (final drive),Multiplate in oilbath,,,,Double steel beam,,,Hydraulic fork,Monoshock,90/90-21 ,120/80-18 ,Single disc,200 mm (7.9 inches),Single disc,95.0 kg (209.4 pounds),,,,"910 mm (35.8 inches) If adjustable, lowest setting.",1350 mm (53.1 inches),7.80 litres (2.06 US gallons),"Blue, orange, green, white",Kick,Minarelli engine. MH is a Spanish brand.,,1420 mm (55.9 inches),2010 mm (79.1 inches),845 mm (33.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boom Trikes Classic Family,2009,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1584.0 ccm (96.66 cubic inches),"Four cylinder boxer, four-stroke",48.0 HP (35.0  kW)),,170.0 km/h (105.6 mph),,,Injection,,,,4-speed,,,9.00 litres/100 km (11.1 km/l or 26.14 mpg),208.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,4 into 1 polished stainless steel exhaust system,,,,,,170/60-17 ,295/50-15 ,Single disc,,Single disc,"700.0 kg (1,543.2 pounds)",0.0686 HP/kg,,,,,38.00 litres (10.04 US gallons),Most colors available.,Electric,1-3 seats. VW engine. German made trike.,,1480 mm (58.3 inches),3555 mm (140.0 inches),1830 mm (72.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dafier DFE 250-A,2009,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",16.1 HP (11.7  kW)),,95.0 km/h (59.0 mph),,,,Overhead Cams (OHC),,Air,,Chain   (final drive),,,,,,,,,,90/90-18 ,130/90-15 ,Single disc,,Expanding brake (drum brake),158.0 kg (348.3 pounds),0.1018 HP/kg,,,,1460 mm (57.5 inches),,"Black, blue",Electric & kick,Made in China.,,1080 mm (42.5 inches),2125 mm (83.7 inches),860 mm (33.9 inches),,,,,,,168.0 kg (370.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang-Jiang Dong Tian 750 M1-B,2009,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,746.0 ccm (45.52 cubic inches),"Twin, four-stroke",22.0 HP (16.1  kW)) @ 5000 RPM,,90.0 km/h (55.9 mph),,,Carburettor,,,Air,4-speed,Shaft drive (cardan)   (final drive),Dry,,,,Steel,,,,,,,,,,350.0 kg (771.6 pounds),0.0629 HP/kg,,,,,24.00 litres (6.34 US gallons),Black,Electric & kick,Chinese copy of pre-war BMW. Optional sidecar for 3 persons and 100 kg of load. Two more variants called M1M-B and M1 Super-B with 24 and 32 hp.,,1000 mm (39.4 inches),2400 mm (94.5 inches),1580 mm (62.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Dutch Speedball,2009,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",2048.5 ccm (125.00 cubic inches),"V2, four-stroke",138.0 HP (100.7  kW)),,,,108.0 x 111.8 mm (4.3 x 4.4 inches),Carburettor. 42mm Polished Mikuni HSR,,,,6-speed,Belt   (final drive),Primo Rivera,,,"Von Dutch Kustom modified 2 into 1 Rhinehart, Heat wrapped to chrome",Independent Cycle Co.,40.0°,,IInverted Storz Cerrianni Chrome 5 degrees rake in trees / 2,"Legend Airride, Chrome Package",120/70-21 ,300-18 ,Single disc. Brembo Floating Rotor w/ chrome centers,,Single disc. IIntegrated Hidden Drive side setup by Independent Cycle Co.,274.0 kg (604.0 pounds),0.5037 HP/kg,,,"559 mm (22.0 inches) If adjustable, lowest setting.",,,,Electric,Patrick Racing Billet Polished 125 cu.in. engine w/ Comp. relief´s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adly RT-100 Road Tracer,2009,"Minibike, sport"," 2.9  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",95.6 ccm (5.83 cubic inches),"Single cylinder, two-stroke",,,,,52.0 x 45.0 mm (2.0 x 1.8 inches),Carburettor,,C.D.I,Air,Automatic,Belt   (final drive),,,,,,,,Telescope fork,"Oil Damped, Monoshock",120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),78.0 kg (172.0 pounds),,,,,1046 mm (41.2 inches),4.75 litres (1.25 US gallons),,Electric & kick,Bike made in Taiwan.,,1160 mm (45.7 inches),1585 mm (62.4 inches),860 mm (33.9 inches),,,,,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Norge 1200 GTL,2009,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1151.0 ccm (70.23 cubic inches),"V2, four-stroke",88.5 HP (64.6  kW)) @ 7500 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 5800 RPM,,9.8:1,95.0 x 81.2 mm (3.7 x 3.2 inches),Injection. Weber-Marelli electronic fuel injection with stepper motor control,Overhead Valves (OHV),,Air,6-speed,Shaft drive (cardan)   (final drive),,,,"Stainless steel, 2 into 1 type with catalytic converter, height-adjustable muffler. Euro 3.","Tubular cradle, high tensile steel",25.0°,120 mm (4.7 inches),"Telescopic hydraulic  fork with Ø 45 mm, preload adjustable","Single arm suspension with progressive linkage, rear shock absorber adjustable in rebound and pre-load (hydraulic)",120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS,282 mm (11.1 inches),Single disc. ABS,247.0 kg (544.5 pounds),0.3583 HP/kg,,,"800 mm (31.5 inches) If adjustable, lowest setting.",1495 mm (58.9 inches),23.00 litres (6.08 US gallons),Grey,Electric,,2,1125 mm (44.3 inches),2195 mm (86.4 inches),870 mm (34.3 inches),,120 mm (4.7 inches),140 mm (5.5 inches),185 mm (7.3 inches),,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
