Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Color options,Starter,Modifications compared to previous model,Top speed,Bore x stroke,Valves per cylinder,Fuel capacity,Max RPM,Rake (fork angle),Trail,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Torque,1/4 mile (0.4 km),Diameter,Dry weight,Power/weight ratio,Fuel consumption,Greenhouse gases,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front wheel travel,Rear wheel travel,Comments,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight
BMW R 80 GS Paris-Dakar,1987,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,8.2:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.00-21 ,4.00-18 ,Single disc,Expanding brake,219.0 kg (482.8 pounds),,,,164.0 km/h (101.9 mph),84.8 x 70.6 mm (3.3 x 2.8 inches),2,33.50 litres (8.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 SP II,1987,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6700 RPM,9.2:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,110/90-16 ,120/90-18 ,Dual disc,Single disc,252.0 kg (555.6 pounds),,,,181.0 km/h (112.5 mph),88.0 x 78.0 mm (3.5 x 3.1 inches),2,23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GP 500 E (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,488.0 ccm (29.78 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5600 RPM,13.5:1,,Membrane,,,Liquid,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.10-18 ,Single disc,Single disc,109.0 kg (240.3 pounds),,,,100.0 km/h (62.1 mph),86.5 x 83.0 mm (3.4 x 3.3 inches),,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 Florida (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,643.0 ccm (39.24 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 5200 RPM,10.0:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,130/90-16 ,Dual disc,Single disc,197.0 kg (434.3 pounds),,,,131.0 km/h (81.4 mph),80.0 x 64.0 mm (3.1 x 2.5 inches),2,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 125 Sport,1987,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",10.0 HP (7.3  kW)) @ 7600 RPM,10.3:1,,Port control,,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,127.0 kg (280.0 pounds),,,,110.0 km/h (68.4 mph),42.5 x 44.0 mm (1.7 x 1.7 inches),,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 1100 Evolution De Luxe,1987,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1101.0 ccm (67.18 cubic inches),"V2, four-stroke",54.0 HP (39.4  kW)) @ 6000 RPM,9.0:1,,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,,,MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),,,,165.0 km/h (102.5 mph),85.1 x 96.8 mm (3.4 x 3.8 inches),2,8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 510 TELC,1987,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",502.0 ccm (30.63 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7200 RPM,10.0:1,,Overhead Cams (OHC),,,Liquid,6-speed,Chain   (final drive),,,,,,3.00-21 ,5.00-18 ,Single disc,Expanding brake,116.0 kg (255.7 pounds),,,,110.0 km/h (68.4 mph),91.5 x 76.4 mm (3.6 x 3.0 inches),4,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750 Special Edition (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11000 RPM,9.8:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,110/90-18 ,150/70-18 ,Dual disc,Single disc,199.0 kg (438.7 pounds),,,,226.0 km/h (140.4 mph),70.0 x 48.7 mm (2.8 x 1.9 inches),4,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 750 C,1987,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 7000 RPM,9.8:1,,Overhead Cams (OHC),,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-19 ,140/90-15 ,Single disc,Expanding brake,242.0 kg (533.5 pounds),,,,167.0 km/h (103.8 mph),79.5 x 75.5 mm (3.1 x 3.0 inches),3,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 750,1987,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",87.0 HP (63.5  kW)) @ 9500 RPM,9.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,110/90-18 ,130/90-18 ,Dual disc,Single disc,241.0 kg (531.3 pounds),,,,216.0 km/h (134.2 mph),66.0 x 54.0 mm (2.6 x 2.1 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM S 3 250 GS,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",32.0 HP (23.4  kW)) @ 11200 RPM,10.0:1,,Rotary valves,,,Air,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.25-18 ,Single disc,Single disc,94.0 kg (207.2 pounds),,,,,72.0 x 61.0 mm (2.8 x 2.4 inches),,8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 500 R,1987,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,9.2:1,Carburettor,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,Telescopic fork,Dual shocks,3.25-18 ,3.50-18 ,Single disc,Expanding brake,180.0 kg (396.8 pounds),,,,138.0 km/h (85.7 mph),89.0 x 94.0 mm (3.5 x 3.7 inches),4,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 650 Indiana,1987,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,10.0:1,,Desmodromic valve control,,,Air,5-speed,Chain   (final drive),,,,,,110/90-18 ,140/90-15 ,Single disc,Single disc,207.0 kg (456.4 pounds),,,,156.0 km/h (96.9 mph),82.0 x 61.5 mm (3.2 x 2.4 inches),2,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuareg Rally 350,1987,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",33.0 HP (24.1  kW)) @ 7500 RPM,9.6:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,90/90-21 ,130/80-17 ,Single disc,Single disc,174.0 kg (383.6 pounds),,,,145.0 km/h (90.1 mph),79.5 x 70.4 mm (3.1 x 2.8 inches),4,30.00 litres (7.93 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 F 1,1987,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,9.3:1,,Desmodromic valve control,,,Air,5-speed,Chain   (final drive),,,,,,120/80-16 ,130/80-18 ,Dual disc,Single disc,189.0 kg (416.7 pounds),,,,206.0 km/h (128.0 mph),88.0 x 61.5 mm (3.5 x 2.4 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 Ténéré (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,8.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.60-18 ,Single disc,Expanding brake,177.0 kg (390.2 pounds),,,,136.0 km/h (84.5 mph),95.0 x 84.0 mm (3.7 x 3.3 inches),4,23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 650 E,1987,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",656.0 ccm (40.03 cubic inches),"In-line four, four-stroke",75.0 HP (54.7  kW)) @ 9500 RPM,9.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-19 ,130/90-16 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),,,,202.0 km/h (125.5 mph),60.0 x 58.0 mm (2.4 x 2.3 inches),4,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 LM,1987,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",591.0 ccm (36.06 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,8.8:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,5.10-17 ,Single disc,Expanding brake,189.0 kg (416.7 pounds),,,,144.0 km/h (89.5 mph),97.0 x 80.0 mm (3.8 x 3.1 inches),4,28.00 litres (7.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 750 F,1987,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",91.0 HP (66.4  kW)) @ 9500 RPM,9.3:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,110/90-16 ,130/80-18 ,Dual disc,Single disc,241.0 kg (531.3 pounds),,,,211.0 km/h (131.1 mph),67.0 x 53.0 mm (2.6 x 2.1 inches),4,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 650 (reduced effect),1987,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5800 RPM,9.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Chain   (final drive),,,,,,90/90-21 ,130/80-17 ,Single disc,Single disc,189.0 kg (416.7 pounds),,,,136.0 km/h (84.5 mph),100.0 x 83.0 mm (3.9 x 3.3 inches),4,23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 1100 Evolution,1987,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1101.0 ccm (67.18 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 5500 RPM,9.0:1,,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,,,MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),,,,164.0 km/h (101.9 mph),85.1 x 96.8 mm (3.4 x 3.8 inches),2,8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 500 F 2,1987,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V4, four-stroke",70.0 HP (51.1  kW)) @ 11500 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,100/90-16 ,110/90-18 ,Dual disc,Single disc,206.0 kg (454.2 pounds),,,,206.0 km/h (128.0 mph),60.0 x 44.0 mm (2.4 x 1.7 inches),4,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XBR 500 (reduced effect),1987,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,8.9:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,100/90-18 ,110/90-18 ,Single disc,Expanding brake,182.0 kg (401.2 pounds),,,,145.0 km/h (90.1 mph),92.0 x 75.0 mm (3.6 x 3.0 inches),4,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 560 F 4 T,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7400 RPM,9.2:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.25-21 ,4.50-18 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),,,,130.0 km/h (80.8 mph),94.0 x 81.0 mm (3.7 x 3.2 inches),4,9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 F 3,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 9700 RPM,10.0:1,,Desmodromic valve control,,,Air,5-speed,Chain   (final drive),,,,,,100/90-16 ,120/80-18 ,Dual disc,Single disc,190.0 kg (418.9 pounds),,,,164.0 km/h (101.9 mph),66.0 x 51.0 mm (2.6 x 2.0 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GR 650 X,1987,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 7200 RPM,8.7:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,100/90-19 ,130/90-16 ,Single disc,Expanding brake,200.0 kg (440.9 pounds),,,,161.0 km/h (100.0 mph),77.0 x 70.0 mm (3.0 x 2.8 inches),2,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 450 L,1987,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",448.0 ccm (27.34 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,9.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,3.60-19 ,4.60-16 ,Single disc,Expanding brake,183.0 kg (403.4 pounds),,,,164.0 km/h (101.9 mph),71.0 x 56.6 mm (2.8 x 2.2 inches),2,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 550 EU,1987,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9600 RPM,8.6:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,100/90-16 ,110/90-18 ,Dual disc,Single disc,211.0 kg (465.2 pounds),,,,182.0 km/h (113.1 mph),60.0 x 50.6 mm (2.4 x 2.0 inches),4,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 500,1987,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,9.0:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.25-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),,,,132.0 km/h (82.0 mph),87.0 x 84.0 mm (3.4 x 3.3 inches),2,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 75 (reduced effect #2),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 4600 RPM,9.6:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-16 ,120/80-18 ,Dual disc,Single disc,200.0 kg (440.9 pounds),,,,138.0 km/h (85.7 mph),80.0 x 74.0 mm (3.1 x 2.9 inches),4,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GP 400 E (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,354.0 ccm (21.60 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,13.5:1,,Membrane,,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.10-18 ,Single disc,Single disc,106.0 kg (233.7 pounds),,,,100.0 km/h (62.1 mph),77.0 x 76.0 mm (3.0 x 3.0 inches),,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voskhod M3,1987,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 5500 RPM,,Carburettor,,,,,4-speed,Chain   (final drive),wet,,,,,,,Expanding brake (drum brake),,,green,,,115.0 km/h (71.5 mph),,,,,,,,,,,,,,17.0 Nm (1.7 kgf-m or 12.5 ft.lbs) @ 5250 RPM,,,115.0 kg (253.5 pounds),0.1217 HP/kg,,,,,,,,,,,,,,,,,,,7.00 seconds,,
Harley-Davidson FXST 1340 Softail,1987,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5000 RPM,8.5:1,,Overhead Valves (OHV),,,Air,5-speed,Belt   (final drive),,,,,,MH 90-21 ,MT 90-16 ,Single disc,Single disc,290.0 kg (639.3 pounds),,,,170.0 km/h (105.6 mph),88.8 x 108.0 mm (3.5 x 4.3 inches),2,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 F (reduced effect),1987,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 10500 RPM,10.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,110/90-16 ,130/80-18 ,Dual disc,Single disc,230.0 kg (507.1 pounds),,,,235.0 km/h (146.0 mph),70.0 x 48.6 mm (2.8 x 1.9 inches),4,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTC 1340 Tour Glide Classic,1987,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 5000 RPM,8.5:1,,Overhead Valves (OHV),,,Air,5-speed,Belt   (final drive),,,,,,MT80-16 ,MT90-16T ,Dual disc,Single disc,350.0 kg (771.6 pounds),,,,150.0 km/h (93.2 mph),88.8 x 108.0 mm (3.5 x 4.3 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki US 750 GL Intruder,1987,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7500 RPM,10.0:1,,Overhead Cams (OHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-19 ,140/90-15 ,Single disc,Expanding brake,207.0 kg (456.4 pounds),,,,179.0 km/h (111.2 mph),80.0 x 74.4 mm (3.1 x 2.9 inches),4,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger,1987,Super motard," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,7.9:1,,Overhead Valves (OHV),,,Air,5-speed,Chain   (final drive),,,,,,100/90-19 ,110/90-18 ,Dual disc,Single disc,195.0 kg (429.9 pounds),,,,160.0 km/h (99.4 mph),76.0 x 82.0 mm (3.0 x 3.2 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli BX 125 Enduro,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,11.5:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,2.75-21 ,4.10-18 ,Single disc,Expanding brake,112.0 kg (246.9 pounds),,,,114.0 km/h (70.8 mph),56.0 x 50.0 mm (2.2 x 2.0 inches),,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 1100 G,1987,Touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",94.0 HP (68.6  kW)) @ 8000 RPM,8.3:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.50-19 ,4.50-17 ,Dual disc,Single disc,268.0 kg (590.8 pounds),,,,207.0 km/h (128.6 mph),72.0 x 66.0 mm (2.8 x 2.6 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia AF 1 125 Replica,1987,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",25.0 HP (18.2  kW)) @ 10000 RPM,15.5:1,,Membrane & variable discharge openings,,,Liquid,6-speed,Chain   (final drive),,,,,,100/80-16 ,120/80-16 ,Single disc,Single disc,147.0 kg (324.1 pounds),,,,156.0 km/h (96.9 mph),54.0 x 54.5 mm (2.1 x 2.1 inches),,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 5,1987,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,844.0 ccm (51.50 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6900 RPM,9.5:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,110/90-16 ,130/90-16 ,Dual disc,Single disc,244.0 kg (537.9 pounds),,,,199.0 km/h (123.7 mph),83.0 x 78.0 mm (3.3 x 3.1 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
