Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Bore x stroke,Valves per cylinder,Fuel system,Gearbox,Transmission type,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Cooling system,Starter,"Weight incl. oil, gas, etc",Compression,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Trail,Front suspension,Rear suspension,Alternate seat height,Overall height,Reserve fuel capacity,Oil capacity,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Overall width,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Fuel control,Rake (fork angle),Ground clearance,Color options,Chain size,Max RPM,Exhaust system,Comments,Driveline,Battery,Rear percentage of weight,Engine details,Modifications compared to previous model
KTM LC4 620 Super Competition,2001,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",609.0 ccm (37.16 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,,175.0 km/h (108.7 mph),101.0 x 76.0 mm (4.0 x 3.0 inches),4,Carburettor,5-speed,Chain   (final drive),295 mm (11.6 inches),320 mm (12.6 inches),90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,123.0 kg (271.2 pounds),0.4065 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",1510 mm (59.4 inches),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Euro 350,2001,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",,,,79.0 x 71.2 mm (3.1 x 2.8 inches),4,Carburettor,6-speed,Chain   (final drive),,,120/80-16 ,140/90-15 ,Single disc,220 mm (8.7 inches),Single disc,150.0 kg (330.7 pounds),,"700 mm (27.6 inches) If adjustable, lowest setting.",1450 mm (57.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 650 R,2001,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",61.0 HP (44.5  kW)) @ 6750 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 5500 RPM,164.0 km/h (101.9 mph),100.0 x 82.6 mm (3.9 x 3.3 inches),4,Carburettor,5-speed,Chain   (final drive),285 mm (11.2 inches),308 mm (12.1 inches),,,Single disc,240 mm (9.4 inches),Single disc,129.0 kg (284.4 pounds),0.4729 HP/kg,"935 mm (36.8 inches) If adjustable, lowest setting.",1485 mm (58.5 inches),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 650 Drag Star,2001,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",40.0 HP (29.2  kW)) @ 6500 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 3000 RPM,145.0 km/h (90.1 mph),81.0 x 63.0 mm (3.2 x 2.5 inches),2,Carburettor,5-speed,Shaft drive (cardan)   (final drive),140 mm (5.5 inches),86 mm (3.4 inches),100/90-S19 ,170/80-S15 ,Single disc,200 mm (7.9 inches),Expanding brake,214.0 kg (471.8 pounds),0.1869 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",1610 mm (63.4 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montesa Cota 315 R,2001,Trial," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",17.5 HP (12.8  kW)) @ 5000 RPM,26.0 Nm (2.7 kgf-m or 19.2 ft.lbs) @ 4000 RPM,,72.2 x 61.0 mm (2.8 x 2.4 inches),,Carburettor,5-speed,Chain   (final drive),180 mm (7.1 inches),150 mm (5.9 inches),,,Single disc,150 mm (5.9 inches),Single disc,73.0 kg (160.9 pounds),0.2397 HP/kg,"650 mm (25.6 inches) If adjustable, lowest setting.",1330 mm (52.4 inches),2.70 litres (0.71 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS Enducross EC 300,2001,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",295.0 ccm (18.00 cubic inches),"Single cylinder, two-stroke",50.6 HP (36.9  kW)) @ 7340 RPM,49.0 Nm (5.0 kgf-m or 36.1 ft.lbs) @ 6890 RPM,,72.0 x 72.0 mm (2.8 x 2.8 inches),,Carburettor,6-speed,Chain   (final drive),295 mm (11.6 inches),320 mm (12.6 inches),90/90-21 ,140/90-18 ,Single disc,220 mm (8.7 inches),Single disc,,,"940 mm (37.0 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia ETV 1000 Caponord,2001,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",98.0 HP (71.5  kW)) @ 8250 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 6250 RPM,200.0 km/h (124.3 mph),97.0 x 67.5 mm (3.8 x 2.7 inches),4,Injection,6-speed,Chain   (final drive),175 mm (6.9 inches),185 mm (7.3 inches),110/80-VR19 ,150/70-VR17 ,Dual disc,270 mm (10.6 inches),Single disc,215.0 kg (474.0 pounds),0.4558 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",1560 mm (61.4 inches),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha T-Max 500,2001,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",40.0 HP (29.2  kW)) @ 7000 RPM,45.8 Nm (4.7 kgf-m or 33.8 ft.lbs) @ 5500 RPM,160.0 km/h (99.4 mph),,,,,,,,,,,,,197.0 kg (434.3 pounds),0.2030 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.80 seconds,,,,,,,,,,,,,,,
Kawasaki VN 1500 Classic Tourrer Fi,2001,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1471.0 ccm (89.76 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 4700 RPM,113.0 Nm (11.5 kgf-m or 83.3 ft.lbs) @ 2800 RPM,154.0 km/h (95.7 mph),102.0 x 90.0 mm (4.0 x 3.5 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),150 mm (5.9 inches),80 mm (3.1 inches),150/80-H16 ,150/80-H16 ,Dual disc,320 mm (12.6 inches),Single disc,335.0 kg (738.5 pounds),0.1940 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",1665 mm (65.6 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titan Gecko RM,2001,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1573.0 ccm (95.98 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 5500 RPM,,170.0 km/h (105.6 mph),91.7 x 117.1 mm (3.6 x 4.6 inches),2,Carburettor,5-speed,Belt   (final drive),,,,,Dual disc,292 mm (11.5 inches),Single disc,,,"622 mm (24.5 inches) If adjustable, lowest setting.",1715 mm (67.5 inches),18.90 litres (4.99 US gallons),Air,,295.0 kg (650.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Drifter,2001,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1471.0 ccm (89.76 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 4700 RPM,113.0 Nm (11.5 kgf-m or 83.3 ft.lbs) @ 2800 RPM,182.0 km/h (113.1 mph),102.0 x 90.0 mm (4.0 x 3.5 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),150 mm (5.9 inches),100 mm (3.9 inches),130/90-H16 ,150/80-H16 ,Single disc,270 mm (10.6 inches),Single disc,304.0 kg (670.2 pounds),0.2105 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",1655 mm (65.2 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VL 800 Intruder Volusia,2001,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 5000 RPM,160.0 km/h (99.4 mph),83.0 x 74.4 mm (3.3 x 2.9 inches),4,Carburettor,5-speed,Shaft drive (cardan)   (final drive),,,150/80-16 ,180/70-15 ,Single disc,180 mm (7.1 inches),Expanding brake,,,"700 mm (27.6 inches) If adjustable, lowest setting.",1645 mm (64.8 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NT 650 V Deauville,2001,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 7750 RPM,55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 6250 RPM,179.0 km/h (111.2 mph),79.0 x 66.0 mm (3.1 x 2.6 inches),3,Carburettor,5-speed,Shaft drive (cardan)   (final drive),115 mm (4.5 inches),120 mm (4.7 inches),120/70-ZR17 ,150/70-ZR17 ,Dual disc,276 mm (10.9 inches),Single disc,223.0 kg (491.6 pounds),0.2511 HP/kg,"814 mm (32.0 inches) If adjustable, lowest setting.",1473 mm (58.0 inches),19.50 litres (5.15 US gallons),,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 610 E,2001,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",576.0 ccm (35.15 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 7100 RPM,,170.0 km/h (105.6 mph),98.0 x 76.4 mm (3.9 x 3.0 inches),4,Carburettor,6-speed,Chain   (final drive),280 mm (11.0 inches),285 mm (11.2 inches),90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,139.0 kg (306.4 pounds),0.3309 HP/kg,"900 mm (35.4 inches) If adjustable, lowest setting.",1485 mm (58.5 inches),9.10 litres (2.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Moto 6.5,2001,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 6250 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 4500 RPM,,,,,5-speed,,,,,,Single disc,,Single disc,150.0 kg (330.7 pounds),0.2800 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1300 SP,2001,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1251.0 ccm (76.34 cubic inches),"In-line four, four-stroke",107.0 HP (78.1  kW)) @ 8000 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 6000 RPM,218.0 km/h (135.5 mph),79.0 x 63.8 mm (3.1 x 2.5 inches),4,Carburettor,5-speed,Chain   (final drive),130 mm (5.1 inches),88 mm (3.5 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,267 mm (10.5 inches),Single disc,230.0 kg (507.1 pounds),0.4652 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 640 Classic,2001,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,343.5 ccm (20.96 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 5250 RPM,,120.0 km/h (74.6 mph),,,,,Chain   (final drive),,,,,Expanding brake,,Expanding brake,149.0 kg (328.5 pounds),0.1611 HP/kg,,1370 mm (53.9 inches),17.00 litres (4.49 US gallons),Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 600 Bandit,2001,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 10500 RPM,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 9500 RPM,200.0 km/h (124.3 mph),62.6 x 48.7 mm (2.5 x 1.9 inches),4,Carburettor,6-speed,Chain   (final drive),130 mm (5.1 inches),126 mm (5.0 inches),120/60-ZR17 ,160/60-ZR17 ,Dual disc,240 mm (9.4 inches),Single disc,204.0 kg (449.7 pounds),0.3824 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1433 mm (56.4 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster 1200,2001,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1200.0 ccm (73.22 cubic inches),"V2, four-stroke",,,,,,Carburettor,,Belt   (final drive),,,100/90-19 ,130/90-HB16 ,Dual disc,,Single disc,222.9 kg (491.4 pounds),,"734 mm (28.9 inches) If adjustable, lowest setting.",1523 mm (60.0 inches),,,,,9.0:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 DX Virago,2001,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",44.0 HP (32.1  kW)) @ 7500 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 6000 RPM,155.0 km/h (96.3 mph),76.0 x 59.0 mm (3.0 x 2.3 inches),2,Carburettor,5-speed,Shaft drive (cardan)   (final drive),150 mm (5.9 inches),85 mm (3.3 inches),,,Single disc,200 mm (7.9 inches),Expanding brake,185.0 kg (407.9 pounds),0.2378 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",1520 mm (59.8 inches),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 S 1+1,2001,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",126.0 HP (92.0  kW)) @ 12500 RPM,74.0 Nm (7.5 kgf-m or 54.6 ft.lbs) @ 11000 RPM,272.0 km/h (169.0 mph),73.8 x 43.8 mm (2.9 x 1.7 inches),4,Injection,6-speed,Chain   (final drive),118 mm (4.6 inches),120 mm (4.7 inches),120/65-ZR17 ,190/50-ZR17 ,Dual disc,210 mm (8.3 inches),Single disc,192.0 kg (423.3 pounds),0.6563 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1398 mm (55.0 inches),20.00 litres (5.28 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 250,2001,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, two-stroke",55.0 HP (40.1  kW)) @ 11000 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 10700 RPM,198.0 km/h (123.0 mph),56.0 x 50.6 mm (2.2 x 2.0 inches),,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),130 mm (5.1 inches),120/60-ZR17 ,150/60-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,,,"785 mm (30.9 inches) If adjustable, lowest setting.",1360 mm (53.5 inches),19.50 litres (5.15 US gallons),,,167.0 kg (368.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R7,2001,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11000 RPM,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 9000 RPM,,,,,6-speed,Chain   (final drive),,,,,Dual disc,,Single disc,176.0 kg (388.0 pounds),0.5682 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",,,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"By mounting a racing kit this bike is capable of 160 HP, while the weight can be reduced to 162 kg.",,,,,
Suzuki GSF 1200 Bandit,2001,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 4500 RPM,230.0 km/h (142.9 mph),79.0 x 59.0 mm (3.1 x 2.3 inches),4,Carburettor,5-speed,Chain   (final drive),130 mm (5.1 inches),125 mm (4.9 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,240 mm (9.4 inches),Single disc,214.0 kg (471.8 pounds),0.4579 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 900 RR Fireblade,2001,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",929.0 ccm (56.69 cubic inches),"In-line four, four-stroke",147.0 HP (107.3  kW)) @ 11000 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 9000 RPM,273.0 km/h (169.6 mph),74.0 x 54.0 mm (2.9 x 2.1 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,190/50-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,170.0 kg (374.8 pounds),0.8647 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),18.00 litres (4.76 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs XTC 125,2001,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 8000 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 7750 RPM,119.0 km/h (73.9 mph),56.0 x 50.7 mm (2.2 x 2.0 inches),,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),110/70-ZR17 ,150/70-ZR17 ,Single disc,220 mm (8.7 inches),Single disc,123.0 kg (271.2 pounds),0.1220 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1380 mm (54.3 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell X1 Lightning,2001,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",88.0 HP (64.2  kW)) @ 6300 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 5600 RPM,210.0 km/h (130.5 mph),88.8 x 96.8 mm (3.5 x 3.8 inches),2,Injection,5-speed,Belt   (final drive),119 mm (4.7 inches),117 mm (4.6 inches),120/70-ZR17 ,170/60-ZR17 ,Single disc,230 mm (9.1 inches),Single disc,,,"820 mm (32.3 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),17.00 litres (4.49 US gallons),Air,Electric,217.0 kg (478.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voxan Roadster,2001,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 6500 RPM,223.0 km/h (138.6 mph),98.0 x 66.0 mm (3.9 x 2.6 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,190.0 kg (418.9 pounds),0.5263 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1435 mm (56.5 inches),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 125 S Virago,2001,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",11.4 HP (8.3  kW)) @ 8500 RPM,9.4 Nm (1.0 kgf-m or 6.9 ft.lbs) @ 8500 RPM,107.0 km/h (66.5 mph),41.0 x 47.0 mm (1.6 x 1.9 inches),2,Carburettor,5-speed,Chain   (final drive),140 mm (5.5 inches),100 mm (3.9 inches),,,Single disc,130 mm (5.1 inches),Expanding brake,139.0 kg (306.4 pounds),0.0820 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",1495 mm (58.9 inches),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 996 R,2001,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",135.0 HP (98.5  kW)) @ 10200 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 8000 RPM,270.0 km/h (167.8 mph),100.0 x 63.5 mm (3.9 x 2.5 inches),4,Injection,6-speed,Chain   (final drive),127 mm (5.0 inches),130 mm (5.1 inches),120/60-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,185.0 kg (407.9 pounds),0.7297 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 R,2001,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 5500 RPM,187.0 km/h (116.2 mph),87.5 x 70.5 mm (3.4 x 2.8 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,160/60-ZR18 ,Dual disc,276 mm (10.9 inches),Single disc,,,"760 mm (29.9 inches) If adjustable, lowest setting.",1487 mm (58.5 inches),19.00 litres (5.02 US gallons),,Electric,235.0 kg (518.1 pounds),,,,,,,,,,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 650 V Transalp,2001,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7500 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 5500 RPM,175.0 km/h (108.7 mph),79.0 x 66.0 mm (3.1 x 2.6 inches),3,Carburettor,5-speed,Chain   (final drive),200 mm (7.9 inches),172 mm (6.8 inches),90/90-21 ,120/90-17 ,Dual disc,240 mm (9.4 inches),Single disc,191.0 kg (421.1 pounds),0.2880 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",1501 mm (59.1 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EL 252 Eliminator,2001,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",253.0 ccm (15.44 cubic inches),"Twin, four-stroke",30.0 HP (21.9  kW)) @ 12000 RPM,20.0 Nm (2.0 kgf-m or 14.8 ft.lbs) @ 10000 RPM,145.0 km/h (90.1 mph),62.5 x 41.2 mm (2.5 x 1.6 inches),4,Carburettor,6-speed,Chain   (final drive),140 mm (5.5 inches),100 mm (3.9 inches),100/90-S17 ,140/90-S15 ,Single disc,160 mm (6.3 inches),Expanding brake,143.0 kg (315.3 pounds),0.2098 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 900,2001,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",97.0 HP (70.8  kW)) @ 9000 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6500 RPM,,,,Carburettor,6-speed,Chain   (final drive),,,,,Dual disc,,Single disc,220.0 kg (485.0 pounds),0.4409 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
