Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Reserve fuel capacity,Starter,Power,Torque,Top speed,Valves per cylinder,Transmission type,Front suspension,Rear suspension,Power/weight ratio,Seat height,Fuel control,Ground clearance,Ignition,Driveline,"Weight incl. oil, gas, etc",Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Oil filter,Battery,Sprockets,Belt teeth,Belt width,Pulley teeth,Comments,Alternate seat height,Front percentage of weight,Rear percentage of weight,Frame type,Exhaust system,Color options,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Max RPM,Modifications compared to previous model,Chain size,Chain links,Carrying capacity,Engine details,Seat
Ducati SS 900 Supersport,2002,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),Injection,Air,6-speed,120 mm (4.7 inches),145 mm (5.7 inches),120/70-ZR17 ,170/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,188.0 kg (414.5 pounds),1100 mm (43.3 inches),2030 mm (79.9 inches),,1395 mm (54.9 inches),16.00 litres (4.23 US gallons),4.00 litres (1.06 US gallons),Electric,80.0 HP (58.4  kW)) @ 7500 RPM,79.0 Nm (8.1 kgf-m or 58.3 ft.lbs) @ 6500 RPM,,2,Chain   (final drive),,,0.4255 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Hornet 250,2002,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"In-line four, four-stroke",11.5:1,48.5 x 33.8 mm (1.9 x 1.3 inches),Carburettor,Liquid,6-speed,,,130/70-ZR16 61W ,180/55-ZR17 73W ,Single disc,220 mm (8.7 inches),Single disc,151.0 kg (332.9 pounds),1055 mm (41.5 inches),2045 mm (80.5 inches),740 mm (29.1 inches),1415 mm (55.7 inches),16.00 litres (4.23 US gallons),,Electric,40.0 HP (29.2  kW)) @ 14000 RPM,24.0 Nm (2.4 kgf-m or 17.7 ft.lbs) @ 11000 RPM,180.3 km/h (112.0 mph),4,,41mm telescopic forks,Monoshock,0.2649 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),170 mm (6.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Diamond, mono-backbone",,,,,,,,,,,
Moto Guzzi California Stone,2002,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",9.5:1,92.0 x 80.0 mm (3.6 x 3.1 inches),,Air,5-speed,,,110/90-VB18 ,140/80-VB17 ,Dual disc,282 mm (11.1 inches),Single disc,246.0 kg (542.3 pounds),1150 mm (45.3 inches),2355 mm (92.7 inches),850 mm (33.5 inches),1560 mm (61.4 inches),19.00 litres (5.02 US gallons),,Electric,74.0 HP (54.0  kW)) @ 6400 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5000 RPM,,2,Shaft drive (cardan)   (final drive),,,0.3008 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VL 800 Intruder Volusia,2002,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",9.4:1,83.0 x 74.4 mm (3.3 x 2.9 inches),Carburettor,Liquid,5-speed,,,130/90-16 ,170/80-15 ,Single disc,,Expanding brake,239.0 kg (526.9 pounds),1110 mm (43.7 inches),2510 mm (98.8 inches),985 mm (38.8 inches),1655 mm (65.2 inches),17.00 litres (4.49 US gallons),,,,,,4,Shaft drive (cardan)   (final drive),,,,"700 mm (27.6 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 1300 TF Royal Star Venture,2002,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",10.0:1,79.0 x 66.0 mm (3.1 x 2.6 inches),,Liquid,,140 mm (5.5 inches),110 mm (4.3 inches),150/80-16 71H ,150/90-15 M/C 74H ,Dual disc,320 mm (12.6 inches),Single disc,377.0 kg (831.1 pounds),1565 mm (61.6 inches),2705 mm (106.5 inches),900 mm (35.4 inches),1705 mm (67.1 inches),,,,98.0 HP (71.5  kW)) @ 6000 RPM,118.0 Nm (12.0 kgf-m or 87.0 ft.lbs) @ 4500 RPM,,4,,,,0.2599 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),155 mm (6.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mondial Piega 1000,2002,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"V2, four-stroke",10.8:1,100.0 x 63.6 mm (3.9 x 2.5 inches),Injection,Liquid,6-speed,,,,,Dual disc,200 mm (7.9 inches),Single disc,168.0 kg (370.4 pounds),,,,1398 mm (55.0 inches),18.00 litres (4.76 US gallons),2.50 litres (0.66 US gallons),Electric,136.0 HP (99.3  kW)) @ 9500 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 8500 RPM,,4,,,,0.8095 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,152 mm (6.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 900 i.e.,2002,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),Injection,Air,6-speed,130 mm (5.1 inches),148 mm (5.8 inches),120/70-ZR17 ,170/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,189.0 kg (416.7 pounds),,2108 mm (83.0 inches),798 mm (31.4 inches),1440 mm (56.7 inches),15.00 litres (3.96 US gallons),3.50 litres (0.92 US gallons),,78.0 HP (56.9  kW)) @ 8000 RPM,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs) @ 6250 RPM,,2,Chain   (final drive),,,0.4127 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CR 500 E,2002,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",491.0 ccm (29.96 cubic inches),"Single cylinder, two-stroke",,,Carburettor. KEIHIN 38MM FLAT SLIDE,Liquid,5-speed,310 mm (12.2 inches),320 mm (12.6 inches),80/100-21 ,110/100-18 ,Single disc. HYDRAULIC DISC WITH DUAL-PISTON CALIPER AND SINTERED METAL PADS,220 mm (8.7 inches),,108.0 kg (238.1 pounds),,,,,9.00 litres (2.38 US gallons),,,,,,,Chain   (final drive),SHOWA 46MM LEADING AXLE USD FORK WITH ADJUSTABLE COMPRESSION/REBOUND DAMPENING,SHOWA  PROLINK WITH ADJUSTABLE COMPRESSION/REBOUND DAMPENING,,"937 mm (36.9 inches) If adjustable, lowest setting.",Membrane & power valve,328 mm (12.9 inches),CAPACITOR DISCHARGE (CDI),,,,,,,,,,,,,WET PLATE,,,,,,,,,,,"CERTAIN CR500 MODELS CAME OUT ADR COMPLIED, BUT MOST WERE DIRT ONLY. THEY ARE STARTING TO BECOME A RARE BIKE.",,,,CrMo STEEL,STANDARD HONDA EXPANSION CHAMBER,WHITE AND RED ONLY,,,,,,,,,
MV Agusta F4 Senna,2002,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.4 ccm (45.73 cubic inches),"In-line four, four-stroke",12.0:1,73.8 x 43.8 mm (2.9 x 1.7 inches),,Liquid,6-speed,118 mm (4.6 inches),120 mm (4.7 inches),120/65-ZR17 56W ,190/50-ZR17 73W ,Dual disc,210 mm (8.3 inches),Single disc,188.0 kg (414.5 pounds),,2007 mm (79.0 inches),685 mm (27.0 inches),1398 mm (55.0 inches),21.00 litres (5.55 US gallons),4.00 litres (1.06 US gallons),Electric,140.0 HP (102.2  kW)) @ 12600 RPM,81.4 Nm (8.3 kgf-m or 60.0 ft.lbs) @ 10500 RPM,286.0 km/h (177.7 mph),4,Chain   (final drive),,,0.7447 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield ThunderBird 350,2002,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",350.0 ccm (21.36 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Coguar 125,2002,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,Air,5-speed,130 mm (5.1 inches),110 mm (4.3 inches),100/80-17 ,130/70-17 ,Single disc,160 mm (6.3 inches),Expanding brake,123.0 kg (271.2 pounds),,,,,12.00 litres (3.17 US gallons),,Electric,,,102.0 km/h (63.4 mph),,,,,,"730 mm (28.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJR 1300,2002,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1298.0 ccm (79.20 cubic inches),"In-line four, four-stroke",10.8:1,79.0 x 66.2 mm (3.1 x 2.6 inches),,Liquid,,,,120/70-ZR17 ,180/55-ZR17 ,Dual disc,282 mm (11.1 inches),Single disc,237.0 kg (522.5 pounds),1402 mm (55.2 inches),2195 mm (86.4 inches),760 mm (29.9 inches),1515 mm (59.6 inches),,,Electric,143.5 HP (104.7  kW)) @ 8000 RPM,134.4 Nm (13.7 kgf-m or 99.1 ft.lbs) @ 7000 RPM,,4,,,,0.6055 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R7,2002,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",11.4:1,72.0 x 46.0 mm (2.8 x 1.8 inches),,Liquid,,120 mm (4.7 inches),138 mm (5.4 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,176.0 kg (388.0 pounds),1125 mm (44.3 inches),2060 mm (81.1 inches),720 mm (28.3 inches),1400 mm (55.1 inches),,,,106.0 HP (77.4  kW)) @ 11000 RPM,72.1 Nm (7.4 kgf-m or 53.2 ft.lbs) @ 9000 RPM,,4,,,,0.6023 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",,120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-7R Ninja,2002,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",,,,Liquid,,,,,,Dual disc,,Single disc,203.0 kg (447.5 pounds),,,,,,,Electric,126.0 HP (92.0  kW)),,,4,,,,0.6207 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTC Heritage Softail Classic,2002,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",8.8:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Air,,,,,,Single disc,292 mm (11.5 inches),Single disc,335.0 kg (738.5 pounds),,2391 mm (94.1 inches),,1630 mm (64.2 inches),18.90 litres (4.99 US gallons),1.90 litres (0.50 US gallons),,,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3500 RPM,,,,,,,"644 mm (25.4 inches) If adjustable, lowest setting.",,129 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTF Fat Boy,2002,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",8.8:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Air,,,,,,Single disc,292 mm (11.5 inches),Single disc,320.0 kg (705.5 pounds),,2396 mm (94.3 inches),,1630 mm (64.2 inches),18.90 litres (4.99 US gallons),1.90 litres (0.50 US gallons),,,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3200 RPM,,,,,,,,,123 mm (4.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna SM 125 S,2002,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor,Liquid,6-speed,,,120/70-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,112.0 kg (246.9 pounds),,,,1500 mm (59.1 inches),11.20 litres (2.96 US gallons),,Kick,,,,,Chain   (final drive),,,,"872 mm (34.3 inches) If adjustable, lowest setting.",,317 mm (12.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FX 470 E,2002,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",472.0 ccm (28.80 cubic inches),"Single cylinder, four-stroke",12.4:1,100.0 x 60.1 mm (3.9 x 2.4 inches),Carburettor,Liquid,6-speed,295 mm (11.6 inches),320 mm (12.6 inches),90/90-21 ,130/80-18 ,Single disc,220 mm (8.7 inches),Single disc,109.6 kg (241.6 pounds),,,,1490 mm (58.7 inches),9.00 litres (2.38 US gallons),,Electric & kick,,,,4,,,,,"930 mm (36.6 inches) If adjustable, lowest setting.",,380 mm (15.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TMax 500,2002,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",10.1:1,66.0 x 73.0 mm (2.6 x 2.9 inches),,Liquid,,120 mm (4.7 inches),120 mm (4.7 inches),120/70-14 M/C 55S ,150/70-14 M/C 66S ,Single disc,267 mm (10.5 inches),Single disc,197.0 kg (434.3 pounds),1410 mm (55.5 inches),2235 mm (88.0 inches),775 mm (30.5 inches),1575 mm (62.0 inches),,,,40.0 HP (29.2  kW)) @ 7000 RPM,45.8 Nm (4.7 kgf-m or 33.8 ft.lbs) @ 5500 RPM,,4,,,,0.2030 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RSV Mille R,2002,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",11.4:1,97.0 x 67.5 mm (3.8 x 2.7 inches),Injection,Liquid,6-speed,120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,183.0 kg (403.4 pounds),1170 mm (46.1 inches),2070 mm (81.5 inches),725 mm (28.5 inches),1415 mm (55.7 inches),18.00 litres (4.76 US gallons),4.00 litres (1.06 US gallons),,130.0 HP (94.9  kW)) @ 9500 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 7250 RPM,,4,Chain   (final drive),,,0.7104 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,51.0,,,,,,,,,,,,
Honda VF 750 C Magna,2002,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",10.8:1,70.0 x 48.6 mm (2.8 x 1.9 inches),,Liquid,5-speed,150 mm (5.9 inches),99 mm (3.9 inches),120/80-17 ,150/80-15 ,Single disc,,Expanding brake,229.0 kg (504.9 pounds),,,,1651 mm (65.0 inches),16.40 litres (4.33 US gallons),3.60 litres (0.95 US gallons),,,,,4,Chain   (final drive),,,,"711 mm (28.0 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 1100 Drag Star,2002,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",8.3:1,95.0 x 75.0 mm (3.7 x 3.0 inches),,Air,,140 mm (5.5 inches),113 mm (4.4 inches),110/90-18 61S ,170/80-15 M/C 77S ,Dual disc,282 mm (11.1 inches),Single disc,259.0 kg (571.0 pounds),1095 mm (43.1 inches),2405 mm (94.7 inches),895 mm (35.2 inches),1640 mm (64.6 inches),,,,62.0 HP (45.3  kW)) @ 5750 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 2500 RPM,,,,,,0.2394 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),145 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 200 SE,2002,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",9.4:1,66.0 x 58.2 mm (2.6 x 2.3 inches),Carburettor,,5-speed,,,70/100-21 44P ,100/90-18 56P ,Single disc,,Expanding brake,113.0 kg (249.1 pounds),1185 mm (46.7 inches),2150 mm (84.6 inches),805 mm (31.7 inches),1405 mm (55.3 inches),13.00 litres (3.43 US gallons),,,,,,,Chain   (final drive),,,,"810 mm (31.9 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),260 mm (10.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHR Road King,2002,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",8.8:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Air,,,,,,Dual disc,292 mm (11.5 inches),Single disc,345.0 kg (760.6 pounds),,2440 mm (96.1 inches),,1592 mm (62.7 inches),18.90 litres (4.99 US gallons),3.40 litres (0.90 US gallons),,,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,,,Belt   (final drive),,,,"693 mm (27.3 inches) If adjustable, lowest setting.",,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SL 1000 Falco,2002,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",10.8:1,97.0 x 67.5 mm (3.8 x 2.7 inches),,Liquid,6-speed,120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,190.0 kg (418.9 pounds),1210 mm (47.6 inches),2055 mm (80.9 inches),736 mm (29.0 inches),1415 mm (55.7 inches),21.00 litres (5.55 US gallons),4.00 litres (1.06 US gallons),,118.0 HP (86.1  kW)) @ 9250 RPM,95.6 Nm (9.7 kgf-m or 70.5 ft.lbs) @ 7000 RPM,,4,Chain   (final drive),,,0.6211 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,51.0,,,,,,,,,,,,
Sachs Roadster 800,2002,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",,,,Liquid,,,,120/70-ZR17 58W ,160/70-ZR17 73W ,Single disc,320 mm (12.6 inches),Expanding brake,,,,,,17.00 litres (4.49 US gallons),3.00 litres (0.79 US gallons),Electric,58.0 HP (42.3  kW)) @ 6000 RPM,,175.0 km/h (108.7 mph),,,,,,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,228.0 kg (502.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Foresight 250,2002,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.4 ccm (15.22 cubic inches),"Single cylinder, four-stroke",10.5:1,72.7 x 60.0 mm (2.9 x 2.4 inches),Carburettor,Liquid,Automatic,100 mm (3.9 inches),96 mm (3.8 inches),110/90-12 64J ,130/70-12 62L ,Single disc,220 mm (8.7 inches),Single disc,150.0 kg (330.7 pounds),1425 mm (56.1 inches),2070 mm (81.5 inches),735 mm (28.9 inches),1450 mm (57.1 inches),12.00 litres (3.17 US gallons),,,19.3 HP (14.1  kW)) @ 7000 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 5500 RPM,115.0 km/h (71.5 mph),,,Telescopic fork,Monoshock,0.1287 HP/kg,"745 mm (29.3 inches) If adjustable, lowest setting.",,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,Windscreen,,,,,,,,,,,,,Underseat storage,,
Buell XB9R Firebolt,2002,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",984.0 ccm (60.04 cubic inches),"V2, four-stroke",10.0:1,88.9 x 79.4 mm (3.5 x 3.1 inches),Injection,Air,5-speed,119 mm (4.7 inches),127 mm (5.0 inches),120/70-ZR17 ,180/55-ZR17 ,Single disc,230 mm (9.1 inches),Single disc,175.0 kg (385.8 pounds),,,,1321 mm (52.0 inches),14.00 litres (3.70 US gallons),,Electric,92.0 HP (67.2  kW)) @ 7200 RPM,92.2 Nm (9.4 kgf-m or 68.0 ft.lbs) @ 5500 RPM,,2,Belt   (final drive),,,0.5257 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,127 mm (5.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 750 DC Black Widow,2002,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",9.0:1,79.0 x 76.0 mm (3.1 x 3.0 inches),Carburettor,,5-speed,108 mm (4.3 inches),80 mm (3.1 inches),110/80-19 59S ,160/80-15M/C 74S ,Single disc,180 mm (7.1 inches),Expanding brake,221.0 kg (487.2 pounds),1070 mm (42.1 inches),2310 mm (90.9 inches),800 mm (31.5 inches),1640 mm (64.6 inches),13.40 litres (3.54 US gallons),4.80 litres (1.27 US gallons),,45.2 HP (33.0  kW)) @ 5500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 3000 RPM,,3,Chain   (final drive),,,0.2045 HP/kg,"645 mm (25.4 inches) If adjustable, lowest setting.",,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZR-7,2002,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",,,,,5-speed,,,,,Dual disc,,Single disc,202.0 kg (445.3 pounds),,,,,,,Electric,76.0 HP (55.5  kW)),,,2,Chain   (final drive),,,0.3762 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC Electra Glide Classic,2002,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",8.9:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Air,,,,,,Dual disc,292 mm (11.5 inches),Single disc,352.3 kg (776.7 pounds),,2475 mm (97.4 inches),,1612 mm (63.4 inches),18.90 litres (4.99 US gallons),3.40 litres (0.90 US gallons),,,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,,,Belt   (final drive),,,,"693 mm (27.3 inches) If adjustable, lowest setting.",,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748,2002,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",11.5:1,88.0 x 65.5 mm (3.5 x 2.6 inches),Injection,Liquid,6-speed,127 mm (5.0 inches),130 mm (5.1 inches),120/60-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,196.0 kg (432.1 pounds),1080 mm (42.5 inches),2030 mm (79.9 inches),,1410 mm (55.5 inches),17.00 litres (4.49 US gallons),4.00 litres (1.06 US gallons),Electric,97.0 HP (70.8  kW)) @ 11000 RPM,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs) @ 9000 RPM,,4,Chain   (final drive),,,0.4949 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 T,2002,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Twin, four-stroke",9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),Carburettor,Air,5-speed,,,,,Single disc,,Expanding brake,127.0 kg (280.0 pounds),1070 mm (42.1 inches),2060 mm (81.1 inches),730 mm (28.7 inches),1350 mm (53.1 inches),14.00 litres (3.70 US gallons),,,15.0 HP (10.9  kW)) @ 11000 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8500 RPM,,,,,,0.1181 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Overhead Cams (OHC),155 mm (6.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
