Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Top speed,Fuel system,Starter,Torque,Ignition,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat height,Wheelbase,Color options,Max RPM,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Lubrication system,Frame type,Reserve fuel capacity,1/4 mile (0.4 km),Diameter,Ground clearance,0-100 km/h (0-62 mph),Oil capacity,Rake (fork angle),Trail,Comments,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Coolant,Chain size
Kawasaki GPZ 500 S (reduced effect),1991,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9300 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,120/90-16 ,Dual disc,Expanding brake,196.0 kg (432.1 pounds),18.00 litres (4.76 US gallons),189.0 km/h (117.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750 (reduced effect),1991,Sport touring," 2.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 10500 RPM,10.9:1,70.0 x 48.7 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,234.0 kg (515.9 pounds),21.00 litres (5.55 US gallons),238.0 km/h (147.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RT,1991,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,8.4:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Dual disc,Expanding brake,238.0 kg (524.7 pounds),22.00 litres (5.81 US gallons),168.0 km/h (104.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 TS,1991,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,10.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,166.0 kg (366.0 pounds),17.00 litres (4.49 US gallons),125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F (reduced effect),1991,Sport," 2.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 9000 RPM,11.6:1,65.0 x 45.2 mm (2.6 x 1.8 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/60-17 ,160/60-17 ,Dual disc,Single disc,208.0 kg (458.6 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp,1991,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,9.2:1,75.0 x 66.0 mm (3.0 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,205.0 kg (451.9 pounds),18.00 litres (4.76 US gallons),167.0 km/h (103.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75 S,1991,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,235.0 kg (518.1 pounds),21.00 litres (5.55 US gallons),199.0 km/h (123.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 400,1991,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"In-line four, four-stroke",65.0 HP (47.4  kW)) @ 13000 RPM,12.1:1,57.0 x 39.0 mm (2.2 x 1.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/60-17 ,160/60-17 ,Dual disc,Single disc,186.0 kg (410.1 pounds),16.00 litres (4.23 US gallons),207.0 km/h (128.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDM 850,1991,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",849.0 ccm (51.81 cubic inches),"Twin, four-stroke",78.0 HP (56.9  kW)) @ 7500 RPM,9.2:1,89.5 x 67.5 mm (3.5 x 2.7 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),110/80-18 ,150/70-17 ,Dual disc,Single disc,230.0 kg (507.1 pounds),18.00 litres (4.76 US gallons),207.0 km/h (128.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NTV 650 Revere (reduced effect),1991,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,9.2:1,79.0 x 66.0 mm (3.1 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-17 ,150/70-17 ,Single disc,Single disc,208.0 kg (458.6 pounds),19.00 litres (5.02 US gallons),177.0 km/h (110.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xingfu XF 125,1991,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 8500 RPM,9.0:1,56.6 x 49.5 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,104.0 kg (229.3 pounds),8.50 litres (2.25 US gallons),97.0 km/h (60.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 1000,1991,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",145.0 HP (105.8  kW)) @ 10000 RPM,12.0:1,75.5 x 56.0 mm (3.0 x 2.2 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),130/60-11 ,170/60-17 ,Dual disc,Single disc,236.0 kg (520.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia AF1 125 Futura,1991,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 8800 RPM,15.0:1,54.0 x 54.5 mm (2.1 x 2.1 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),100/80-17 ,130/70-17 ,Single disc,Single disc,140.0 kg (308.6 pounds),20.00 litres (5.28 US gallons),158.0 km/h (98.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500 Bullet,1991,Classic," 2.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5400 RPM,6.5:1,84.0 x 90.0 mm (3.3 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.50-19 ,Expanding brake,Expanding brake,184.0 kg (405.7 pounds),14.50 litres (3.83 US gallons),123.0 km/h (76.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRS 1340 Low Rider,1991,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MJ90-16 ,MT90-16 ,Single disc,Single disc,276.0 kg (608.5 pounds),16.00 litres (4.23 US gallons),,Carburettor. 34 mm Keihin,Electric,90.8 Nm (9.3 kgf-m or 67.0 ft.lbs) @ 3600 RPM,,38mm Telescopic air assistance,175 mm (6.9 inches),Dual shocks preload adjustable,91 mm (3.6 inches),,,,,,4.76 litres/100 km (21.0 km/l or 49.42 mpg),110.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,285.0 kg (628.3 pounds),0.1719 HP/kg,,,,,,,,292 mm (11.5 inches),,,,,,,,,,,,,,,,,,,,,,
Triumph Trident 750 (reduced effect),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,748.0 ccm (45.64 cubic inches),"In-line three, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,11.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB-1,1991,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10800 RPM,11.3:1,55.0 x 42.0 mm (2.2 x 1.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/70-17 ,140/70-17 ,Single disc,Single disc,189.0 kg (416.7 pounds),15.00 litres (3.96 US gallons),173.0 km/h (107.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 600 LC 4 Competition,1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,553.0 ccm (33.74 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,9.5:1,95.0 x 78.0 mm (3.7 x 3.1 inches),4,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),3.00-21 ,140/80-18 ,Single disc,Single disc,122.0 kg (269.0 pounds),9.00 litres (2.38 US gallons),115.0 km/h (71.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuareg 600 Wind,1991,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 7000 RPM,9.4:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Dual disc,Single disc,182.0 kg (401.2 pounds),18.00 litres (4.76 US gallons),155.0 km/h (96.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 125 Cruiser,1991,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 9000 RPM,13.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),2.75-21 ,4.60-17 ,Single disc,Single disc,130.0 kg (286.6 pounds),14.00 litres (3.70 US gallons),130.0 km/h (80.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos BT,1991,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",5.4 HP (3.9  kW)) @ 8000 RPM,11.0:1,38.0 x 43.0 mm (1.5 x 1.7 inches),,,Air,5-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,9.50 litres (2.51 US gallons),90.0 km/h (55.9 mph),Carburettor. Bing 18mm,Kick,5.0 Nm (0.5 kgf-m or 3.7 ft.lbs) @ 7500 RPM,,,,,,,,,8500,,,,cantor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Tengai,1991,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",41.0 HP (29.9  kW)) @ 7000 RPM,9.5:1,100.0 x 83.0 mm (3.9 x 3.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,190.0 kg (418.9 pounds),23.00 litres (6.08 US gallons),156.0 km/h (96.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Pegaso 600 (reduced effect),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,9.4:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-19 ,130/90-17 ,Single disc,Single disc,172.0 kg (379.2 pounds),11.50 litres (3.04 US gallons),130.0 km/h (80.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
