Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Alternate seat height,Starter,Max RPM,Fuel consumption,Greenhouse gases,Fuel capacity,Compression,Fuel control,0-100 km/h (0-62 mph),Bore x stroke,Fuel system,Front tire,Rear tire,Wheelbase,Reserve fuel capacity,Color options,Comments,Ignition,Driveline,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Wheels,"Weight incl. oil, gas, etc",Oil filter,Battery,Spark plugs,Belt teeth,Belt width,Lubrication system,Clutch,Frame type,1/4 mile (0.4 km),Ground clearance,Exhaust system,Oil capacity,Engine oil,Brake fluid,Coolant,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Electrical,Overall height,Overall width,Carrying capacity
Honda FES 250 Foresight,1998,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 7000 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 5500 RPM,,,Liquid,,,,,150.0 kg (330.7 pounds),0.1333 HP/kg,"745 mm (29.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500 S Sport,1998,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)),47.0 Nm (4.8 kgf-m or 34.7 ft.lbs),195.0 km/h (121.2 mph),4,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,179.0 kg (394.6 pounds),0.3240 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650,1998,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)),57.0 Nm (5.8 kgf-m or 42.0 ft.lbs),165.0 km/h (102.5 mph),4,,5-speed,Chain   (final drive),Single disc,Single disc,173.0 kg (381.4 pounds),0.2775 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Zing,1998,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)),,,,,5-speed,Chain   (final drive),,,154.0 kg (339.5 pounds),0.0779 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TL 1000 R,1998,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",135.0 HP (98.5  kW)),,265.0 km/h (164.7 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,197.0 kg (434.3 pounds),0.6853 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ 660 Skorpion Traveller,1998,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)),56.0 Nm (5.7 kgf-m or 41.3 ft.lbs),180.0 km/h (111.8 mph),5,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,186.0 kg (410.1 pounds),0.2581 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-7R Ninja,1998,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",122.0 HP (89.1  kW)) @ 11500 RPM,81.0 Nm (8.3 kgf-m or 59.7 ft.lbs) @ 9800 RPM,270.0 km/h (167.8 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,203.0 kg (447.5 pounds),0.6010 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Heritage Springer,1998,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 2000 RPM,155.0 km/h (96.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,,313.0 kg (690.0 pounds),0.1789 HP/kg,"654 mm (25.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 666,1998,Scooter," 2.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,,,6-speed,Chain   (final drive),Single disc,Single disc,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 C,1998,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",87.0 HP (63.5  kW)),70.0 Nm (7.1 kgf-m or 51.6 ft.lbs),200.0 km/h (124.3 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,229.0 kg (504.9 pounds),0.3799 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha V-Max 1200,1998,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1198.0 ccm (73.10 cubic inches),"V4, four-stroke",98.0 HP (71.5  kW)) @ 8000 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 3000 RPM,230.0 km/h (142.9 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,262.0 kg (577.6 pounds),0.3740 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trident 750,1998,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line three, four-stroke",86.0 HP (62.8  kW)),87.0 Nm (8.9 kgf-m or 64.2 ft.lbs),200.0 km/h (124.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,212.0 kg (467.4 pounds),0.4057 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CA 125 Rebel,1998,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Twin, four-stroke",11.0 HP (8.0  kW)) @ 9500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 6000 RPM,,,Air,5-speed,Chain   (final drive),Single disc,,137.0 kg (302.0 pounds),0.0803 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F2 Seven-Fifty,1998,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",73.0 HP (53.3  kW)),63.0 Nm (6.4 kgf-m or 46.5 ft.lbs),205.0 km/h (127.4 mph),4,Air,5-speed,Chain   (final drive),Dual disc,Single disc,215.0 kg (474.0 pounds),0.3395 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ Sportstar 300,1998,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,291.0 ccm (17.76 cubic inches),"Single cylinder, two-stroke",32.0 HP (23.4  kW)) @ 5500 RPM,29.5 Nm (3.0 kgf-m or 21.8 ft.lbs) @ 5200 RPM,,,Air,5-speed,,Single disc,Expanding brake,128.5 kg (283.3 pounds),0.2490 HP/kg,,,,,,,,,,,,,,,,,,Can be delivered with sidecar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 R,1998,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 5500 RPM,190.0 km/h (118.1 mph),4,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,214.0 kg (471.8 pounds),0.3271 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.","800 mm (31.5 inches) If adjustable, highest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 DX Virago De Luxe,1998,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",44.0 HP (32.1  kW)),46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 6000 RPM,140.0 km/h (87.0 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,,182.0 kg (401.2 pounds),0.2418 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SZR 660,1998,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",659.0 ccm (40.21 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 5500 RPM,,5,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,159.0 kg (350.5 pounds),0.3019 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell M2 Cyclone,1998,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)) @ 6000 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 5400 RPM,200.0 km/h (124.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,Single disc,197.0 kg (434.3 pounds),0.4365 HP/kg,"749 mm (29.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 650 Ghost Strike,1998,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",668.0 ccm (40.76 cubic inches),"Twin, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 6500 RPM,190.0 km/h (118.1 mph),4,Air,6-speed,Chain   (final drive),Dual disc,,185.0 kg (407.9 pounds),0.3784 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 S Formula,1998,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"Twin, four-stroke",92.0 HP (67.2  kW)) @ 9500 RPM,74.0 Nm (7.5 kgf-m or 54.6 ft.lbs) @ 7800 RPM,220.0 km/h (136.7 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,,185.0 kg (407.9 pounds),0.4973 HP/kg,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Baghira,1998,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),57.0 Nm (5.8 kgf-m or 42.0 ft.lbs),165.0 km/h (102.5 mph),5,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,158.0 kg (348.3 pounds),0.3165 HP/kg,"930 mm (36.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 600,1998,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 11800 RPM,65.7 Nm (6.7 kgf-m or 48.5 ft.lbs) @ 10800 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,174.0 kg (383.6 pounds),0.6322 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750,1998,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",135.0 HP (98.5  kW)),82.3 Nm (8.4 kgf-m or 60.7 ft.lbs),265.0 km/h (164.7 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,179.0 kg (394.6 pounds),0.7542 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1200 Sportster Sport,1998,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 4000 RPM,160.0 km/h (99.4 mph),2,Air,5-speed,Belt   (final drive),Dual disc,Single disc,227.0 kg (500.4 pounds),0.2687 HP/kg,"734 mm (28.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki LS 650 P Savage,1998,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",30.0 HP (21.9  kW)) @ 5400 RPM,49.0 Nm (5.0 kgf-m or 36.1 ft.lbs) @ 3400 RPM,,,Air,5-speed,Belt   (final drive),Single disc,Expanding brake,160.0 kg (352.7 pounds),0.1875 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voxan V2 Roadster,1998,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,996.0 ccm (60.78 cubic inches),"V2, four-stroke",108.0 HP (78.8  kW)) @ 9500 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs),,,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,187.0 kg (412.3 pounds),0.5775 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha GTS 1000 ABS,1998,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1003.0 ccm (61.20 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 6500 RPM,240.0 km/h (149.1 mph),4,Liquid,5-speed,Chain   (final drive),Single disc. ABS. Six-piston calipers. ,Single disc. ABS. Two-piston calipers. ,251.0 kg (553.4 pounds),0.3904 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,20.00 litres (5.28 US gallons),10.8:1,Double Overhead Cams/Twin Cam (DOHC),,75.5 x 56.0 mm (3.0 x 2.2 inches),Injection,130/60-ZR17 ,170/60-ZR17 ,1495 mm (58.9 inches),,"Red, black",,Digital ,,24.0°,100 mm (3.9 inches),"Single sided swingarm variable preload, compression and rebound damping",116 mm (4.6 inches),"Monocross variable preload, compression and rebound damping",130 mm (5.1 inches),282 mm (11.1 inches),,278.2 kg (613.3 pounds),,,"NGK DPR8EA-9, NGK DPR8EIX-9",,,Wet sump,"Wet, multiple discs, cable operated",,,,,2.70 litres (2.85 US quarts),SAE 20W-40,DOT 4,3.00 litres (0.79 US gallons),1000  +/- 50  RPM,,118,17/47 (front/rear),36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),,2170 mm (85.4 inches),,,,
Harley-Davidson FXSTB Softail Night Train,1998,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 2350 RPM,155.0 km/h (96.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,,293.0 kg (646.0 pounds),0.1911 HP/kg,"676 mm (26.6 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 900,1998,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",84.0 HP (61.3  kW)) @ 8400 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 5500 RPM,201.0 km/h (124.9 mph),4,Liquid,6-speed,Chain   (final drive),Double disc. Two-piston calipers. ,Single disc. Two-piston calipers. ,209.0 kg (460.8 pounds),0.4019 HP/kg,"851 mm (33.5 inches) If adjustable, lowest setting.",,Electric,,6.20 litres/100 km (16.1 km/l or 37.94 mpg),143.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,25.00 litres (6.61 US gallons),10.6:1,Double Overhead Cams/Twin Cam (DOHC),,76.0 x 65.0 mm (3.0 x 2.6 inches),Carburettor. 3 x 36mm flat side CV,100/80-19 ,140/80-17 ,1560 mm (61.4 inches),,"Red, green, yellow, black",,Digital CDI,,27.0°,,"43 mm Kayaba telescopic fork, adjustable for compression and rebound damping",235 mm (9.3 inches),"Kayaba monoshock, adjustable preload",200 mm (7.9 inches),255 mm (10.0 inches),,,K&N KN-19,YUASA YB14LA-2,"NGK DPR8EA-9, NGK DPR8EIX-9",,,Wet sump,"Wet, multiple discs, cable operated","Trellis, steel",,,3-into-2 exhaust,3.80 litres (4.02 US quarts),SAE 10W-40 or 15W-40,DOT 4,3.00 litres (0.79 US gallons),1000  RPM,530,114,18/48 (front/rear),30 PSI (2.1 Bar or 210 kPa),33 PSI (2.3 Bar or 230 kPa),43 mm (1.7 inches),,,,,
Ducati 750 SS,1998,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",66.0 HP (48.2  kW)) @ 8500 RPM,,185.0 km/h (115.0 mph),2,Air,5-speed,Chain   (final drive),Dual disc,Single disc,176.0 kg (388.0 pounds),0.3750 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva W8,1998,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 9500 RPM,17.0 Nm (1.7 kgf-m or 12.5 ft.lbs) @ 9200 RPM,,,Air,6-speed,Chain   (final drive),Single disc,Single disc,115.0 kg (253.5 pounds),0.1304 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1200 Sportster Custom,1998,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 5200 RPM,89.0 Nm (9.1 kgf-m or 65.6 ft.lbs) @ 3900 RPM,160.0 km/h (99.4 mph),2,Air,5-speed,Belt   (final drive),Single disc,,223.0 kg (491.6 pounds),0.2646 HP/kg,"688 mm (27.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 125,1998,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),15.0 Nm (1.5 kgf-m or 11.1 ft.lbs),,,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,142.0 kg (313.1 pounds),0.1056 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trident 900,1998,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",92.0 HP (67.2  kW)) @ 9200 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 8600 RPM,215.0 km/h (133.6 mph),3,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,212.0 kg (467.4 pounds),0.4340 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Moto 6.5,1998,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 6250 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 4500 RPM,160.0 km/h (99.4 mph),5,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,150.0 kg (330.7 pounds),0.2800 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 N Diversion,1998,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 8500 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 7000 RPM,190.0 km/h (118.1 mph),2,Air,6-speed,Chain   (final drive),Dual disc,Single disc,187.0 kg (412.3 pounds),0.3262 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1200 SP,1998,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8000 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 6250 RPM,220.0 km/h (136.7 mph),4,Air,5-speed,Chain   (final drive),Dual disc,Single disc,232.0 kg (511.5 pounds),0.4224 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj KB 125,1998,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,,Air,5-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 600 F Hornet,1998,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",96.0 HP (70.1  kW)) @ 12000 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 9500 RPM,,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,176.0 kg (388.0 pounds),0.5455 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YP 250,1998,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 6500 RPM,23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 5500 RPM,,,,,,Single disc,Single disc,153.0 kg (337.3 pounds),0.1307 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
