Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Starter,Rear brakes,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Fuel consumption,Greenhouse gases,Front suspension,Rear suspension,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Frame type,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front wheel travel,Reserve fuel capacity,Comments,Exhaust system,Rear wheel travel,Chain links,Sprockets,Lubrication system,Clutch,Overall height,Overall width,Max RPM,Rake (fork angle),Trail,Engine details,Modifications compared to previous model,Alternate seat height,Electrical,Battery,Oil filter,Belt teeth,Belt width,Pulley teeth,Light
Honda CN 250,1997,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)),20.5 Nm (2.1 kgf-m or 15.1 ft.lbs),,,,,,,156.0 kg (343.9 pounds),0.1090 HP/kg,"665 mm (26.2 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Classic,1997,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1471.0 ccm (89.76 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 4700 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 3300 RPM,175.0 km/h (108.7 mph),4,Liquid,4-speed,Shaft drive (cardan)   (final drive),Single disc,292.0 kg (643.7 pounds),0.2192 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Tiger 2000,1997,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",197.0 ccm (12.02 cubic inches),"Single cylinder, four-stroke",,,150.0 km/h (93.2 mph),,Air,5-speed,Chain   (final drive),Single disc,,,,Electric & kick,Expanding brake (drum brake),,,Injection,,,,,,,,100/90-18 ,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM LC4 LSE,1997,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",609.0 ccm (37.16 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,,160.0 km/h (99.4 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,139.0 kg (306.4 pounds),0.3597 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Thunderbird,1997,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 4800 RPM,195.0 km/h (121.2 mph),4,Liquid,5-speed,Chain   (final drive),,220.0 kg (485.0 pounds),0.3182 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural De Luxe,1997,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)),41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 5200 RPM,,,Air,4-speed,,Expanding brake,182.0 kg (401.2 pounds),0.1758 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 RS,1997,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1171.0 ccm (71.45 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)),117.0 Nm (11.9 kgf-m or 86.3 ft.lbs),250.0 km/h (155.3 mph),4,Liquid,6-speed,Shaft drive (cardan)   (final drive),Dual disc,264.0 kg (582.0 pounds),0.4924 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,
Moto Guzzi California 1100 I,1997,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 6400 RPM,91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 5000 RPM,180.0 km/h (111.8 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,240.0 kg (529.1 pounds),0.3125 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva E 750 Elefant,1997,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 5500 RPM,,,,5-speed,Chain   (final drive),Single disc,188.0 kg (414.5 pounds),0.3191 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 916 SPS,1997,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",135.0 HP (98.5  kW)) @ 10000 RPM,,270.0 km/h (167.8 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,185.0 kg (407.9 pounds),0.7297 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 916 SP,1997,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",131.0 HP (95.6  kW)) @ 10900 RPM,,260.0 km/h (161.6 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,196.0 kg (432.1 pounds),0.6684 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Eliminator 125,1997,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,,Air,5-speed,Chain   (final drive),Single disc,,,"670 mm (26.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 Virago,1997,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",44.0 HP (32.1  kW)),48.0 Nm (4.9 kgf-m or 35.4 ft.lbs),160.0 km/h (99.4 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,182.0 kg (401.2 pounds),0.2418 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TU 250 XV,1997,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 8200 RPM,,120.0 km/h (74.6 mph),4,Air,5-speed,,Single disc,125.0 kg (275.6 pounds),0.1360 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ Classic 125,1997,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 8500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 7500 RPM,,,Air,5-speed,Chain   (final drive),Single disc,120.0 kg (264.6 pounds),0.1000 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ 660 Skorpion Replica,1997,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6250 RPM,58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 5500 RPM,,,,5-speed,,Single disc,165.0 kg (363.8 pounds),0.3030 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Tourist,1997,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)),41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 5200 RPM,,,Air,4-speed,,Expanding brake,,,"810 mm (31.9 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comes with sidecar.,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ 400 Fazer,1997,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",53.0 HP (38.7  kW)) @ 9500 RPM,38.0 Nm (3.9 kgf-m or 28.0 ft.lbs) @ 9500 RPM,180.0 km/h (111.8 mph),4,Liquid,6-speed,Chain   (final drive),Double disc. Brembo 4-piston calipers,177.0 kg (390.2 pounds),0.2994 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",Electric,Single disc. 2-piston caliper,11.7:1,56.0 x 40.5 mm (2.2 x 1.6 inches),Carburettor. Mikuni CVK 30/4,Double Overhead Cams/Twin Cam (DOHC),,2.86 litres/100 km (35.0 km/l or 82.25 mpg),66.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Telescopic fork,Monoshock,110/70-R 17 54H ,160/60-R 17 69H ,,199.0 kg (438.7 pounds),2080 mm (81.9 inches),130 mm (5.1 inches),1420 mm (55.9 inches),18.00 litres (4.76 US gallons),"Silver, Black, Red, Black/Red/White",,,,,,,,,,,,,,3.00 litres (0.79 US gallons),,,,,,Wet Sump,Wet multiplate,1170 mm (46.1 inches),530 mm (20.9 inches),15000,,,,,,,,,,,,12V 60W/35W
Ducati 916 Biposto,1997,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",109.0 HP (79.6  kW)) @ 9000 RPM,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 7000 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,204.0 kg (449.7 pounds),0.5343 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki LS 650 P Savage,1997,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",31.0 HP (22.6  kW)) @ 5400 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 5400 RPM,140.0 km/h (87.0 mph),4,Air,5-speed,Belt   (final drive),Single disc,160.0 kg (352.7 pounds),0.1938 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",Electric,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST2,1997,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",944.0 ccm (57.60 cubic inches),"V2, four-stroke",83.0 HP (60.6  kW)) @ 8900 RPM,,,2,Air,6-speed,Chain   (final drive),Dual disc,212.0 kg (467.4 pounds),0.3915 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Road King,1997,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 5000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3000 RPM,150.0 km/h (93.2 mph),2,Air,5-speed,Belt   (final drive),,314.0 kg (692.3 pounds),0.1879 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Classic,1997,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 3300 RPM,170.0 km/h (105.6 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,235.0 kg (518.1 pounds),0.2340 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 900 RR Fireblade,1997,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",918.0 ccm (56.02 cubic inches),"In-line four, four-stroke",128.0 HP (93.4  kW)),93.0 Nm (9.5 kgf-m or 68.6 ft.lbs),260.0 km/h (161.6 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,183.0 kg (403.4 pounds),0.6995 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva E 900 Elefant,1997,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 6500 RPM,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 5500 RPM,,,,6-speed,Chain   (final drive),Single disc,185.0 kg (407.9 pounds),0.3676 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTR 1000 F,1997,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",110.0 HP (80.3  kW)),98.0 Nm (10.0 kgf-m or 72.3 ft.lbs),,4,Liquid,6-speed,Chain   (final drive),Dual disc,192.0 kg (423.3 pounds),0.5729 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Tramp,1997,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,344.0 ccm (20.99 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5250 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,120.0 km/h (74.6 mph),,Air,4-speed,Chain   (final drive),Single disc,149.0 kg (328.5 pounds),0.1544 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
