Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Carrying capacity,Comments,Top speed,Clutch,Fuel consumption,Greenhouse gases,Instruments,Factory warranty,Engine details,Compression,Bore x stroke,Valves per cylinder,Ignition,Lubrication system,Exhaust system,Front wheel travel,Rear wheel travel,Dry weight,Torque,Power/weight ratio,Oil capacity,"Weight incl. oil, gas, etc",Rake (fork angle),Trail,Light,Reserve fuel capacity,Seat,Emission details,Modifications compared to previous model,Front percentage of weight,Max RPM,Alternate seat height,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Rear percentage of weight,Chain size,Chain links,Sprockets,Coolant,1/4 mile (0.4 km)
Sym VS 150,2011,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",149.6 ccm (9.13 cubic inches),"Single cylinder, four-stroke",,Carburettor,Single Overhead Cams (SOHC),Air,Automatic,Belt   (final drive),,,Telescopic Fork,Unit Swing Arm,110/80-12 ,130/70-12 ,Single disc,273 mm (10.7 inches),Expanding brake (drum brake),,,1125 mm (44.3 inches),1910 mm (75.2 inches),740 mm (29.1 inches),,1345 mm (53.0 inches),6.00 litres (1.59 US gallons),"Silver, red, black, white",Electric & kick,,,,,,,,,,Ceramic cylinder,,,4,,,,,,133.0 kg (293.2 pounds),,,1.00 litres (1.06 US quarts),139.0 kg (306.4 pounds),,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,
Keeway RY6 50,2011,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",4.4 HP (3.2  kW)) @ 7250 RPM,Carburettor,,Air,Automatic,Belt   (final drive),,,,,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),,,1140 mm (44.9 inches),1840 mm (72.4 inches),695 mm (27.4 inches),150 mm (5.9 inches),1270 mm (50.0 inches),6.00 litres (1.59 US gallons),,Electric & kick,,,,50.0 km/h (31.1 mph),"Dry, centrifugal CVT system",,,,,,6.9:1,40.0 x 39.2 mm (1.6 x 1.5 inches),,CDI,,,,,,4.0 Nm (0.4 kgf-m or 3.0 ft.lbs) @ 5520 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGO T-Rex 150,2011,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.1 ccm (9.16 cubic inches),"Single cylinder, four-stroke",,Carburettor,Single Overhead Cams (SOHC),Air,Automatic,Belt   (final drive),Automatic CVT,,Telescopic fork,Swing arm,120/70-12 ,130/70-12 ,Single disc,,Expanding brake (drum brake),,,1284 mm (50.6 inches),1870 mm (73.6 inches),815 mm (32.1 inches),,1284 mm (50.6 inches),6.70 litres (1.77 US gallons),"White, red/white, blue, orange, black, gray",Electric,12 Volt,,Taiwanese made scooter. Model also called PGO CP-150.,,,,,Analogue instruments,,,,,,CDI,,,,,113.0 kg (249.1 pounds),,,,,,,Dual headlights,,,Euro III,,,,,,,,,,,,,,,,,,,,
Sherco ST 2.9,2011,Trial," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",272.0 ccm (16.60 cubic inches),"Single cylinder, two-stroke",,Carburettor. Dell´Orto VHST,,,5-speed,Chain   (final drive),5 speed sequential gearbox with security selector system to prevent false shifts. Chain primary drive.,Tubular section Chrome-moly,"Ceriani 38 mm. dia hydraulic telescope fork, 185 mm travel fully adjustable for preload and dampening. Black low friction coating","Progressive link system with single Olle adjustable shock absorber, 175 mm travel",,,Single disc,,Single disc,"Morad 21 inch front and 18 inch rear gold anodized aluminum rim and aluminum hub, steel spokes with Michelin tube-type tire.","645 mm (25.4 inches) If adjustable, lowest setting.",,,,305 mm (12.0 inches),1322 mm (52.0 inches),,Blue/white/yellow,Kick,,,,,Multiplate in oil bath,,,,,Nikasil coated cylinder,,76.0 x 60.0 mm (3.0 x 2.4 inches),,"Leonelli progressive, electronic ignition with a balan¬ced magnetic flywheel","Oil pre-mix, 2%",Steel header pipe with an integrated aluminum muffler,,,68.0 kg (149.9 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MotoCzysz C1 990,2011,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",990.0 ccm (60.41 cubic inches),"In-line four, four-stroke",220.0 HP (160.6  kW)) @ 15000 RPM,Injection. Single overhead/10bar pressure,Overhead Cams (OHC),Liquid,6-speed,Chain   (final drive),,Carbon Fiber Frame 5kg with Carbon Fiber Subframe 2.5 kg,6X Flex with Ohlins shock,Aluminum swing arm with adjustable pivot concentric to output shaft. DUO spring with regressive damped Ohlins shock,3.50-16.5 ,6.26-16.5 ,Single disc. Brembo Monoblock radial mount calipers,320 mm (12.6 inches),Single disc. Brembo Monoblock radial mount calipers,Front Wheel: Carbon Fiber BST 16.5 x 3.5. Rear Wheel: Carbon Fiber BST 16.5 x 6.25,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,1420 mm (55.9 inches),7.57 litres (2.00 US gallons),Silver,Electric,"Charging System: 350W, 14V Magnetti Marelli permanent magnet",,Made in the US.,,Dry pack with Hydro electro slipper control,,,,,Z-Line 4. Twin Crank. Triple OHC. Titanium valves.,,82.0 x 46.9 mm (3.2 x 1.8 inches),,4 plug mounted coils,Wet deep sump,FMF Titanium 45mm 4-2-4,,,158.0 kg (348.3 pounds),108.5 Nm (11.1 kgf-m or 80.0 ft.lbs),1.3924 HP/kg,,,22.5°,,,,,,,,16500,,,,,,,,,,,,,,,,,
Schwinn Newport 150,2011,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,Carburettor,,Air,Automatic,Belt   (final drive),,,30mm stanchion/Telescopic,Damping Shock,3.50-10 ,3.50-10 ,"Double disc. Cross-drilled Disc, Dual Piston Disc",,Expanding brake (drum brake),,,,1811 mm (71.3 inches),691 mm (27.2 inches),,,6.50 litres (1.72 US gallons),"Pepper White, Onyx Black",Electric & kick,,,,,Automatic,,,,1 year parts  and  labor,,,,,,,,,,83.5 kg (184.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikilon A6-250SKN,2011,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",16.8 HP (12.2  kW)) @ 7000 RPM,,,Liquid,6-speed,Chain   (final drive),,Steel,"Aluminum, air-cell adjustable","Aluminum, air-cell adjustable",21/7-10 ,21/10-10 ,Single disc. Hydraulic,,Single disc,,,1090 mm (42.9 inches),1700 mm (66.9 inches),1100 mm (43.3 inches),170 mm (6.7 inches),1200 mm (47.2 inches),4.50 litres (1.19 US gallons),"Black, Blue, Red, Green, Orange, White",Electric,,,Chinese made bike.,85.0 km/h (52.8 mph),,,,,,,,70.0 x 64.8 mm (2.8 x 2.6 inches),,,,,,,98.0 kg (216.1 pounds),,0.1710 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Zuma 125,2011,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,Injection. Electronic Fuel Injection,Single Overhead Cams (SOHC),Air,Automatic,Belt   (final drive),V-belt,,27mm telescopic forks,Dual shock,,,Single disc,220 mm (8.7 inches),Expanding brake (drum brake),,"780 mm (30.7 inches) If adjustable, lowest setting.",1113 mm (43.8 inches),1910 mm (75.2 inches),765 mm (30.1 inches),94 mm (3.7 inches),1290 mm (50.8 inches),6.06 litres (1.60 US gallons),Raven,Electric,,,,,Dry centrifugal automatic clutch,2.64 litres/100 km (37.9 km/l or 89.10 mpg),61.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1 Year (Limited Factory Warranty),,10.0:1,52.4 x 57.9 mm (2.1 x 2.3 inches),4,CDI,,,,,,,,,93.9 kg (207.0 pounds),,,12V 35/35-watt multi-reflector halogen headlight,,"Wide, thickly padded two-up seat",Upswept muffler incorporates exhaust catalyst technology to reduce air pollution and meet emission regulations.,,,,,,,,,,,,,,,,,,,,
Yamaha WR125X,2011,Super motard," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)),Injection,Single Overhead Cams (SOHC),Liquid,6-speed,Chain   (final drive),,Steel double cradle,Telescopic forks,Swingarm link suspension,110/70-17 ,140/70-17 ,Single disc,220 mm (8.7 inches),Single disc,,"920 mm (36.2 inches) If adjustable, lowest setting.",,2095 mm (82.5 inches),835 mm (32.9 inches),255 mm (10.0 inches),1430 mm (56.3 inches),8.50 litres (2.25 US gallons),"Blue, black",Electric,,,,,"Wet, multiple-disc coil spring",,,,,,11.2:1,52.0 x 58.6 mm (2.0 x 2.3 inches),4,digital,Wet sump,,210 mm (8.3 inches),230 mm (9.1 inches),127.0 kg (280.0 pounds),12.2 Nm (1.2 kgf-m or 9.0 ft.lbs),0.1161 HP/kg,1.20 litres (1.27 US quarts),137.0 kg (302.0 pounds),,79 mm (3.1 inches),,,,,,,,,,,,,,,,,,,,,,,,
Honda Shadow Classic 400,2011,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"V2, four-stroke",,Injection. PGM-FI,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),,,Telescopic  fork,Swing arm,120/90-17 ,160/80-15 ,Single disc. Two-piston calipers,180 mm (7.1 inches),Expanding brake (drum brake). Sigle piston,,"660 mm (26.0 inches) If adjustable, lowest setting.",1125 mm (44.3 inches),2510 mm (98.8 inches),920 mm (36.2 inches),130 mm (5.1 inches),1640 mm (64.6 inches),14.00 litres (3.70 US gallons),Blue/white,Electric,,,,,"Wet, multiplate",,,,,,10.3:1,64.0 x 62.0 mm (2.5 x 2.4 inches),,,,,117 mm (4.6 inches),89 mm (3.5 inches),,33.0 Nm (3.4 kgf-m or 24.3 ft.lbs) @ 3500 RPM,,,255.0 kg (562.2 pounds),34.0°,161 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YFZ450R Special Edition,2011,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,Injection. 42 mm EHS with ISC,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),"2WD. Sealed O-ring chain, eccentric adjustment.",Weldless lightweight aluminium frame,"Independent double wishbone, threaded preload adjustable dual-rate coil-over springs, 3-way adjustable damper, 250 mm stroke","Cast aluminium swingarm, threaded preload adjustable coil-over springs, 3-way adjustable damper, 280 mm stroke",21/7-10 ,20/10-9 ,Double disc. ventilated discs with hydraulic twin piston callipers,,Single disc. Wave-type ventilated disc with twin piston callipers,Aluminium,"810 mm (31.9 inches) If adjustable, lowest setting.",1065 mm (41.9 inches),,1240 mm (48.8 inches),115 mm (4.5 inches),1270 mm (50.0 inches),10.00 litres (2.64 US gallons),Black,,,,,,,,,,,,11.6:1,95.0 x 63.4 mm (3.7 x 2.5 inches),5,TCI,Dry sump,,,,,,,,184.0 kg (405.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Giantco Lambros R,2011,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",4.1 HP (3.0  kW)) @ 8000 RPM,Carburettor,Overhead Cams (OHC),Liquid,Automatic,Belt   (final drive),,,Oil damped telescopic fork,Oil damped coil spring with Gas Chamber,130/60-13 ,130/60-13 ,Single disc,190 mm (7.5 inches),Single disc,,,1130 mm (44.5 inches),1830 mm (72.0 inches),645 mm (25.4 inches),,1270 mm (50.0 inches),4.20 litres (1.11 US gallons),White/black/red,Electric & kick,12 Volt,Max load 150 kg,,,C.V.T.,,,,,,6.9:1,40.0 x 39.2 mm (1.6 x 1.5 inches),,CDI,,,,,90.0 kg (198.4 pounds),3.7 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 8000 RPM,0.0460 HP/kg,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ6SL,2011,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),O-ring chain,Steel diamond,Telescopic fork,Monocross,120/70-ZR17 ,160/60-ZR17 ,Single disc,245 mm (9.6 inches),Single disc,,"770 mm (30.3 inches) If adjustable, lowest setting.",1210 mm (47.6 inches),2121 mm (83.5 inches),770 mm (30.3 inches),140 mm (5.5 inches),1440 mm (56.7 inches),17.41 litres (4.60 US gallons),"Red, black",Electric,,,,,,5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,12.2:1,65.5 x 44.5 mm (2.6 x 1.8 inches),4,TCI,Wet sump,,130 mm (5.1 inches),130 mm (5.1 inches),,,,3.40 litres (3.59 US quarts),213.2 kg (470.0 pounds),26.0°,104 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,
Honda Stateline,2011,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1312.0 ccm (80.06 cubic inches),"V2, four-stroke",,"Injection. PGM-FI with automatic enrichment circuit, one 38mm throttle body",Single Overhead Cams (SOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),,,41mm fork,Single shock,140/80-17 ,170/80-15 ,Single disc. Two-piston calipers,296 mm (11.7 inches),Single disc,,"678 mm (26.7 inches) If adjustable, lowest setting.",,,,,1781 mm (70.1 inches),16.65 litres (4.40 US gallons),"Black, Candy Dark Red",Electric,,,,,,,,,"One year transferable, unlimited-mileage limited warranty",,9.2:1,89.5 x 104.3 mm (3.5 x 4.1 inches),3,"Digital with 3-D mapping, two spark plugs per cylinder",,,102 mm (4.0 inches),99 mm (3.9 inches),,,,,304.8 kg (672.0 pounds),33.0°,,,,,Meets current EPA standards. California version meets current California Air Resources Board (CARB) standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,
Yamaha TDM 900,2011,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",897.0 ccm (54.73 cubic inches),"Twin, four-stroke",85.0 HP (62.1  kW)) @ 7500 RPM,Injection. EFI,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),"Constant Mesh, 6-speed","Aluminium Deltabox, Diamond Shaped",Telescopic forks,Swingarm (link suspension),120/70-ZR18 ,160/60-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,,"825 mm (32.5 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),2180 mm (85.8 inches),800 mm (31.5 inches),160 mm (6.3 inches),1485 mm (58.5 inches),20.00 litres (5.28 US gallons),"Gun metallic, midnight black",Electric,,,,,"Wet, multiple-disc coil spring",,,,,Forward-inclined parallel 2-cylinder,10.4:1,92.0 x 67.5 mm (3.6 x 2.7 inches),5,TCI,Dry sump,,150 mm (5.9 inches),133 mm (5.2 inches),199.0 kg (438.7 pounds),88.8 Nm (9.1 kgf-m or 65.5 ft.lbs) @ 9100 RPM,0.4272 HP/kg,4.70 litres (4.97 US quarts),223.0 kg (491.6 pounds),,114 mm (4.5 inches),,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SR 50 R Factory Replica SBK,2011,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,Injection. Electronic direct fuel injection. ,,Liquid,Automatic,Belt   (final drive),,Split single cradle frame in high tensile strength steel tube ,Hydraulic fork,Engine unit acting as swingarm; frame linkages on two radial silent block mountings.,130/60-13 ,130/60-13 ,Single disc,190 mm (7.5 inches),Single disc,"Five spoke, light alloy wheels front and rear: 3.50 x 13´","820 mm (32.3 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1860 mm (73.2 inches),,,1290 mm (50.8 inches),7.00 litres (1.85 US gallons),"Replica Sbk Red
",Electric,"Generator: Flywheel-magneto, 70 W – 12 V.",,,,Automatic centrifugal dry clutch,,,,,,12.1:1,40.0 x 39.3 mm (1.6 x 1.5 inches),,Capacitor discharge ignition,Separate mixing with mechanical oil pump,,90 mm (3.5 inches),70 mm (2.8 inches),199.0 kg (438.7 pounds),,,,,,,,1.20 litres (0.32 US gallons),,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 1100 Evo,2011,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1078.0 ccm (65.78 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,"Injection. Siemens electronic fuel injection, 45mm throttle body",Desmodromic valve control,Air,6-speed,Chain   (final drive),Chain; Front sprocket 15; Rear sprocket 39,Tubular steel Trellis frame,Marzocchi 43mm fully adjustable usd forks,Progressive with preload and rebound Sachs adjustable monoshock,120/70-ZR17 ,180/55-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,1450 mm (57.1 inches),13.50 litres (3.57 US gallons),Red with white stripe (red/black) - Diamond Black with Racing grey stripe (racing gray/black) ,Electric,,,,,Wet multiplate with hydraulic control,,,"Digital unit displaying  Speedometer, rev counter, time, scheduled maintenance warning, oil temperature, trip fuel, lap time, warning light for low oil pressure, fuel level, fuel reserve, neutral, turn signals, warning ABS, overrev, DTC, immobilizer. Ready for DDA system.",2 years unlimited mileage,,11.3:1,98.0 x 71.5 mm (3.9 x 2.8 inches),2,,,Lightweight 2-1-2 system with catalytic converter and two lambda probes. Twin aluminium mufflers,120 mm (4.7 inches),148 mm (5.8 inches),,87.5 Nm (8.9 kgf-m or 64.5 ft.lbs) @ 5500 RPM,,,,24.0°,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,
Sachs SpeedJet RS,2011,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.1 HP (2.2  kW)) @ 6000 RPM,Carburettor,Single Overhead Cams (SOHC),,Automatic,,CVT variomatic,Steel,,,120/70-12 ,120/70-12 ,Single disc. Wave disk,,Single disc. Wave disk,,"800 mm (31.5 inches) If adjustable, lowest setting.",,1870 mm (73.6 inches),,,1320 mm (52.0 inches),6.00 litres (1.59 US gallons),Black/white/red,Electric,,,,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,90.0 kg (198.4 pounds),,0.0342 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Fury,2011,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1312.0 ccm (80.06 cubic inches),"V2, four-stroke",,"Injection. PGM-FI with automatic enricher circuit, one 38mm throttle body",Single Overhead Cams (SOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),,,45mm fork,Single shock with adjustable rebound-damping and five-position spring-preload adjustability,90/90-21 ,200/50-18 ,Double disc. Two-piston calipers,296 mm (11.7 inches),Single disc,,"678 mm (26.7 inches) If adjustable, lowest setting.",,,,,1810 mm (71.2 inches),12.87 litres (3.40 US gallons),"Dark Red Metallic, Pearl White, Matte Orange Metallic",Electric,,,Model ID: CMX250C,,,5.11 litres/100 km (19.6 km/l or 46.03 mpg),118.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,One year unlimited-mileage limited warranty,,9.2:1,89.5 x 104.3 mm (3.5 x 4.1 inches),3,"Digital with three-dimensional mapping, two spark plugs per cylinder",,,102 mm (4.0 inches),94 mm (3.7 inches),,89.5 Nm (9.1 kgf-m or 66.0 ft.lbs),,,300.7 kg (663.0 pounds),38.0°,113 mm (4.4 inches),,,,Meets current EPA standards. California version meets current California Air Resources Board (CARB) standards and may differ slightly due to emissions equipment,,,,,,,,,,,,,,,,,,,,
Wakan 100,2011,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1640.0 ccm (100.07 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)) @ 5750 RPM,Carburettor. 1 x 41 mm Keihin FCR flatslide downdraft.,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),Gates-belt primary/carbon-kevealr cover.,TIG-welded chrome-moly steel tubular backbone frame,46 mm Ceriani Italy inverted fully adjustable forks.,Extruded aluminium swingarm with ZF Sachs shock.,120/70-ZR17 ,180/55-ZR17 ,Single disc. 6-piston calipers,220 mm (8.7 inches),Single disc. 2-piston calipers,Forged aluminium,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,1380 mm (54.3 inches),13.00 litres (3.43 US gallons),"Red satin, black stardust, white pearl, silver moon stone. Also custom paint.",Electric,,,Upgrade kits. Custom parts.,248.0 km/h (154.1 mph),"Multiplate dry, 7 steel/7 with hydraulic drive.",5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Digital,,S and S 45 degree V-twin,10.3:1,101.6 x 101.6 mm (4.0 x 4.0 inches),,CDI single fire programmable,Dry sump,2 into 1 Devil stainless silencers.,,,183.0 kg (403.4 pounds),165.0 Nm (16.8 kgf-m or 121.7 ft.lbs) @ 4250 RPM,0.6557 HP/kg,,201.0 kg (443.1 pounds),,,,,,,,52.0,,,,,,,,,,,,,48.0,,,,,
Suzuki Impulse 400,2011,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",398.0 ccm (24.29 cubic inches),"In-line four, four-stroke",52.3 HP (38.2  kW)) @ 11000 RPM,Carburettor. BSR29,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),,Diamond,,,110/70-17 ,140/70-17 ,Double disc,,Single disc,,"760 mm (29.9 inches) If adjustable, lowest setting.",1105 mm (43.5 inches),2080 mm (81.9 inches),745 mm (29.3 inches),120 mm (4.7 inches),1435 mm (56.5 inches),16.00 litres (4.23 US gallons),"White, black",Electric,,,,,Wet multi-plate coil spring,,,,,,,52.0 x 47.0 mm (2.0 x 1.9 inches),4,Full transistor type,,,,,177.0 kg (390.2 pounds),37.0 Nm (3.8 kgf-m or 27.3 ft.lbs) @ 9500 RPM,0.2955 HP/kg,3.20 litres (3.38 US quarts),,25.3°,96 mm (3.8 inches),,,,,,,,,,,,,,,,,,,,,,,,
