Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Color options,Starter,Clutch,Dry weight,Comments,Fuel consumption,Greenhouse gases,Power/weight ratio,Lubrication system,Exhaust system,Top speed,Valves per cylinder,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,0-100 km/h (0-62 mph),Alternate seat height,Oil capacity,Engine details,Driveline,Wheels,Seat,Modifications compared to previous model,Max RPM,Front percentage of weight,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Rear percentage of weight,Emission details,Factory warranty,Tire pressure front,Tire pressure rear,Fork tube size
Moto Guzzi MGS-01 Corsa,2010,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1225.0 ccm (74.75 cubic inches),"V2, four-stroke",128.0 HP (93.4  kW)) @ 8000 RPM,,11.6:1,100.0 x 78.0 mm (3.9 x 3.1 inches),Injection. Weber-Marelli electronic fuel injection with stepper motor control,Overhead Cams (OHC),Marelli IAW 15M electronic digital,Air,6-speed,Shaft drive (cardan)   (final drive),Rectangular section single-beam ALS 450,"Öhlins up-side down fork Ø 43 mm, 3 adjustment positions","Aluminium-plate swinging fork Öhlins monoshock absorber, 4 adjustment positions",120/60-17 ,180/67-17 ,"Double disc. Floating discs, 4 pads radial caliper",220 mm (8.7 inches),Double disc. Double piston caliper,,"820 mm (32.3 inches) If adjustable, lowest setting.",1165 mm (45.9 inches),2070 mm (81.5 inches),,185 mm (7.3 inches),1450 mm (57.1 inches),18.50 litres (4.89 US gallons),,Red,,"Sintering double disc, hydraulic drive",192.0 kg (423.3 pounds),,,,0.6667 HP/kg,Splash,,,4,120 mm (4.7 inches),125 mm (4.9 inches),24.0°,97 mm (3.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
NOX Duel 125 SM,2010,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.3 HP (8.2  kW)) @ 9500 RPM,,,,Carburettor. Mikuni,,,Air,,Chain   (final drive),,,,110/70-17 ,130/70-17 ,Single disc. 2-piston,200 mm (7.9 inches),Single disc. 2-piston,,"835 mm (32.9 inches) If adjustable, lowest setting.",1145 mm (45.1 inches),2090 mm (82.3 inches),,,1405 mm (55.3 inches),8.50 litres (2.25 US gallons),,Silver black,Electric & kick,Wet multiplate,127.0 kg (280.0 pounds),NOX is an abbreviation for New Original eXperience. ,,,0.0887 HP/kg,,Euro 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innoscooter Elektroroller EM 6000 Maxi-Lithium,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,8.1 HP (5.9  kW)),,,,,,,Air,Automatic,,Steel,,,130/60-13 ,130/60-13 ,Single disc,,Single disc,139.0 kg (306.4 pounds),,1210 mm (47.6 inches),2030 mm (79.9 inches),670 mm (26.4 inches),,,,,"Blue, red, black, pearl white",Electric,"No clutch, engine in rear wheel.",129.0 kg (284.4 pounds),Permanent magnet DC-Motor. Approx. 60 km before charging. Full charge 4-6 hours. 64V 40 AH Lithium battery. InnoScooter is a German brand. Bike made in the US.,,,0.0624 HP/kg,,,90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinroad XT125-18,2010,Allround," 2.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.1 HP (10.3  kW)) @ 7500 RPM,9.1 Nm (0.9 kgf-m or 6.7 ft.lbs) @ 8000 RPM,,55.9 x 48.3 mm (2.2 x 1.9 inches),,,C.D.I,Air,5-speed,Chain   (final drive),,Hydraulic damper,Springs,110/90-16 ,130/90-15 ,Single disc,,Expanding brake (drum brake),,,1135 mm (44.7 inches),1336 mm (52.6 inches),749 mm (29.5 inches),150 mm (5.9 inches),1336 mm (52.6 inches),14.38 litres (3.80 US gallons),,"Red, blue, green, silver, yellow",Electric & kick,Manual,153.3 kg (338.0 pounds),"Also available with 50, 150 aor 200 ccm engines.",,,0.0918 HP/kg,,,96.6 km/h (60.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna CR 125,2010,Cross / motocross," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,,,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor. 38mm Mikuni TMX,,,Liquid,6-speed,Chain   (final drive),,48mm Kayaba AOS,Sachs Multi Adjustable Shock with Soft Damp Linkage,80/100-21 ,100/90-19 ,Single disc. Bremo,240 mm (9.4 inches),Single disc. Bremo,,,,,,,,,,Red/white,Kick,"Multi plate, cable operation",89.5 kg (197.3 pounds),,,,,Fuel-oil premixture of 33:1,,,,300 mm (11.8 inches),296 mm (11.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson VRSCF V-Rod Muscle,2010,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1250.0 ccm (76.28 cubic inches),"V2, four-stroke",,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 6500 RPM,11.5:1,105.0 x 72.0 mm (4.1 x 2.8 inches),Injection. Electronic Sequential Port Fuel Injection,,,Liquid,5-speed,Belt   (final drive),Black steel perimeter upper frame with hydroformed main rails;,43 mm inverted,Preload adjustable,120/0-ZR19 ,240/40-R18 ,Double disc. 4-piston,300 mm (11.8 inches),Single disc. 4-piston,,"705 mm (27.8 inches) If adjustable, lowest setting.",,2410 mm (94.9 inches),,105 mm (4.1 inches),1700 mm (66.9 inches),18.90 litres (4.99 US gallons),,"Vivid Black, Brilliant Silver Pearl, Black Denim, Red Hot Sunglo",Electric,"9-plate, wet, A and S (Assist  and  Slip)",292.0 kg (643.7 pounds),"Platinum powder-coated engine with polished treatment covers;
Chopped rear fender; 240mm wide rear tyre; Forward pulled back footpegs;
Passenger footpegs; Internally wired handlebars with “fat” integrated cast
riser; Two-piece, two-up textured vinyl seat; Satin chrome headlamp mount;
Satin black headlamp bucket; Wide angular air box cover and air box side
covers; LED front turn signals incorporated into mirror stems; 4-piston front
and rear Brembo® brakes with dual front rotor; 43mm inverted forks;
Stylised rear shocks; Slipper clutch; ABS as standard",,,,,"Satin chrome, dual side exhaust system",,,102 mm (4.0 inches),74 mm (2.9 inches),34.0°,142 mm (5.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bear Choppers GTX Standard 114 X-Wedge EFI,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1868.2 ccm (114.00 cubic inches),"V2, four-stroke",97.0 HP (70.8  kW)),153.2 Nm (15.6 kgf-m or 113.0 ft.lbs),,104.8 x 108.0 mm (4.1 x 4.3 inches),Injection. S and S Closed-Loop Electronic Fuel Injection ,,,Liquid,6-speed,Belt   (final drive),BBC GTX  Softail,BBC Smooth Mount Hidden Axle,Progressive,120/80-21 ,300/50-18 ,Double disc. P.M. 4-piston calipers,,Single disc,,"648 mm (25.5 inches) If adjustable, lowest setting.",,,,,2159 mm (85.0 inches),19.30 litres (5.10 US gallons),,"Gross Black, satin black, charcoal metallic, silver metallic, black cherry, candy red, firecracker red, orange pearl, electric blue, pearl white or custom paint schemes.",Electric,,385.6 kg (850.0 pounds),"Innovative and patented 2-up seating configuration inside the frame for centralized weight distribution.
Dropped neck height for a low prostreet style stance that enables low speed confidence and handling.",,,0.2516 HP/kg,S and S Dual Gerotor Pump,,,,,,36.0°,95 mm (3.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB X motion 250 EFI,2010,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",251.0 ccm (15.32 cubic inches),"Single cylinder, four-stroke",21.4 HP (15.6  kW)) @ 7750 RPM,,10.8:1,71.0 x 63.3 mm (2.8 x 2.5 inches),Injection,,ECU,Liquid,Automatic,Belt   (final drive),,,,120/70-14 ,140/60-13 ,Single disc,,Single disc,,"790 mm (31.1 inches) If adjustable, lowest setting.",,2155 mm (84.8 inches),680 mm (26.8 inches),,,11.00 litres (2.91 US gallons),,"Black, red, silver",Electric & kick,,194.0 kg (427.7 pounds),,,,0.1103 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 900 Custom,2010,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"V2, four-stroke",,78.9 Nm (8.0 kgf-m or 58.2 ft.lbs) @ 3500 RPM,9.5:1,88.0 x 74.2 mm (3.5 x 2.9 inches),Injection,Single Overhead Cams (SOHC),TCBI with Electronic Advance,Liquid,5-speed,Belt   (final drive),"Steel, double-cradle with box-section single-tube backbone",41mm hydraulic telescopic fork / 5.9 in.,"Uni-Track  swingarm, seven-way adjustable spring preload  / 4.1 in.",80/90-21 ,180/70-15 ,Single disc,300 mm (11.8 inches),Single disc,277.1 kg (610.8 pounds),"686 mm (27.0 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2405 mm (94.7 inches),894 mm (35.2 inches),,1646 mm (64.8 inches),20.06 litres (5.30 US gallons),,"Candy Surf Blue,  Candy Persimmon Red,  Metallic Flat Spark Black",,,,,,,,,,,,,,32.0°,183 mm (7.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
E-max 110S,2010,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",,Electric,5.4 HP (3.9  kW)),,,,,,,Air,Automatic,Shaft drive (cardan)   (final drive),,Oil/gas pressure,Oil/gas pressure,130/60-13 ,130/60-13 ,Single disc. Hydraulic floating disc brakes,,Single disc. Hydraulic floating disc brakes,191.0 kg (421.1 pounds),,,,,,,,,"Black, blue, gray, white, red, yellow, green",Electric,No clutch,91.0 kg (200.6 pounds),13´´ high torque maintenance free motor. 4 x 12V/60Ah silicone battery. 4-8 hours charging time.  Operating range 70-90 km. Made in Germany.,,,0.0589 HP/kg,,,60.0 km/h (37.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX650F,2010,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",656.0 ccm (40.03 cubic inches),"In-line four, four-stroke",,,11.5:1,65.5 x 48.7 mm (2.6 x 1.9 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Liquid,6-speed,Chain   (final drive),,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",120/70-ZR17 ,160/60-ZR17 ,Double disc,,Single disc,241.0 kg (531.3 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",,2130 mm (83.9 inches),760 mm (29.9 inches),125 mm (4.9 inches),1470 mm (57.9 inches),19.00 litres (5.02 US gallons),,"Blue/White, Orange/Black",Electric,,220.0 kg (485.0 pounds),,,,,Wet sump,Large capacity exhaust system utilizes a high capacity catalyzer and an oxygen sensor to meet Euro 3 and Tier 2 emissions requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Sports Urban 50,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",2.0 HP (1.5  kW)),,,,Carburettor,,CDI,Air,Automatic,,,Twin,Monoshock,3.00-10 ,3.00-10 ,Single disc,,Expanding brake (drum brake),,"762 mm (30.0 inches) If adjustable, lowest setting.",1016 mm (40.0 inches),1651 mm (65.0 inches),660 mm (26.0 inches),127 mm (5.0 inches),1270 mm (50.0 inches),3.78 litres (1.00 US gallons),,"Black, yellow, blue, red, green",Kick,,88.0 kg (194.0 pounds),,,,0.0227 HP/kg,,Single,48.3 km/h (30.0 mph),,,,,,,,0.90 litres (0.95 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Saxon Hotrod Sceptre,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1573.0 ccm (95.98 cubic inches),"V2, four-stroke",,,10.1:1,94.0 x 119.4 mm (3.7 x 4.7 inches),Carburettor. S and S Super E,Overhead Valves (OHV),,,6-speed,Belt   (final drive),,41 mm Telescopic 3 Inch over,Hidden Shocks,90/90-21 ,260-18 ,Single disc. Bremo 4-piston,,Single disc. Bremo 2-piston,,"635 mm (25.0 inches) If adjustable, lowest setting.",,2540 mm (100.0 inches),,,1829 mm (72.0 inches),17.03 litres (4.50 US gallons),,Custom colors,Electric,,283.5 kg (625.0 pounds),Customizable.,,,,,,,,,,39.0°,,,,3.30 litres (3.49 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
HDM Speedy 50,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,40.0 ccm (2.44 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,,Air,Automatic,,,,,,,Single disc,,Expanding brake (drum brake),,,,,,,,,,"Black, gray, blue",Electric,,,Italian brand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 GS Adventure,2010,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, two-stroke",103.3 HP (75.4  kW)) @ 7500 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 5750 RPM,12.0:1,101.0 x 73.0 mm (4.0 x 2.9 inches),"Injection. Electronic intake pipe injection/BMS-K digital engine management with overrun fuel cut-off, twin spark ignition",Single Overhead Cams (SOHC),,Oil & air,6-speed,Shaft drive (cardan)   (final drive),"Two-section frame consisting of front and rear sections, load- bearing engine-gearbox unit",BMW Motorrad Telelever,Cast aluminium single-sided swing arm with BMW Motorrad Paralever,110/80-R19 ,150/70-R17 ,Double disc,265 mm (10.4 inches),Single disc,256.0 kg (564.4 pounds),"910 mm (35.8 inches) If adjustable, lowest setting.",,2240 mm (88.2 inches),990 mm (39.0 inches),,1510 mm (59.4 inches),33.00 litres (8.72 US gallons),4.00 litres (1.06 US gallons),"Yellow, gray",Electric,"Single dry plate clutch, hydraulically operated",223.0 kg (491.6 pounds),,4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,0.4630 HP/kg,,"Closed-loop 3-way catalytic converter, emission standard EU-3",,4,210 mm (8.3 inches),220 mm (8.7 inches),24.8°,89 mm (3.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Trigger X 50,2010,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.6 ccm (3.03 cubic inches),"Single cylinder, two-stroke",1.4 HP (1.0  kW)) @ 5500 RPM,2.6 Nm (0.3 kgf-m or 1.9 ft.lbs) @ 3000 RPM,,,,,,Air,6-speed,Chain   (final drive),,,,3.00-21 ,4.10-18 ,,,,,,1230 mm (48.4 inches),2060 mm (81.1 inches),890 mm (35.0 inches),,1370 mm (53.9 inches),10.00 litres (2.64 US gallons),,"Blue, green, white",Electric & kick,Multi-disc oil bath clutch,111.0 kg (244.7 pounds),Austrian brand.,,,0.0125 HP/kg,Fresh oil lubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR650L,2010,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs),8.3:1,100.0 x 82.0 mm (3.9 x 3.2 inches),Carburettor. 42.5mm diaphragm-type CV carburetor,Single Overhead Cams (SOHC),Solid-state CD with electronic advance,Air,5-speed,Chain   (final drive), with 16-position compression-damping adjustability; 11.6-inches of travel,43mm air-adjustable leading-axle Showa cartridge fork with 16-position compression-damping adjustability,"Pro-link Showa single-shock with spring-preload, 20-position compression- and 20-position rebound-damping adjustability",3.00-21 ,4.60-18 ,Single disc,,Single disc,156.9 kg (346.0 pounds),"940 mm (37.0 inches) If adjustable, lowest setting.",,,,330 mm (13.0 inches),1455 mm (57.3 inches),10.59 litres (2.80 US gallons),,Red,Electric,,,Model ID: XR650L,,,,,,,,295 mm (11.6 inches),279 mm (11.0 inches),27.0°,102 mm (4.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Norge 1200 GT,2010,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1151.0 ccm (70.23 cubic inches),"V2, four-stroke",88.5 HP (64.6  kW)) @ 7500 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 5800 RPM,9.8:1,95.0 x 81.2 mm (3.7 x 3.2 inches),Injection. Weber-Marelli,Overhead Valves (OHV),,Air,6-speed,Shaft drive (cardan)   (final drive),"Tubular cradle, high tensile steel","Telescopic hydraulic  fork with 45 mm, preload adjustable","Single arm suspension with progressive linkage, rear shock absorber adjustable in rebound and pre-load (hydraulic)",120/70-ZR17 ,180/55-ZR17 ,Double disc. 4 piston calipers. ABS.,282 mm (11.1 inches),Single disc. 2 piston calipers. ABS.,,"800 mm (31.5 inches) If adjustable, lowest setting.",1125 mm (44.3 inches),2195 mm (86.4 inches),,185 mm (7.3 inches),1495 mm (58.9 inches),23.00 litres (6.08 US gallons),4.00 litres (1.06 US gallons),"Silver, Red, Black, Gray",Electric,Dry plate,246.0 kg (542.3 pounds),,,,0.3598 HP/kg,Splash,"Stainless steel, 2 into 1 type with catalytic converter, height-adjustable muffler",,,120 mm (4.7 inches),140 mm (5.5 inches),25.0°,120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Metisse Desert Racer,2010,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",47.0 HP (34.3  kW)) @ 6700 RPM,,9.0:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal,,,,,Chain   (final drive),"Mark III chrome moly, nickel plated, oil-bearing frame with oil filter included",Cerani fork,BSA,100/110-18 ,2.75-21 ,,,,,,,,,,,,,,,,135.0 kg (297.6 pounds),Triumph TR6 engine. All parts except for the fully re-conditioned Triumph engine and rear hub are newly manufactured items.,,,0.3481 HP/kg,,Period chromed exhaust pipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Cross Roads,2010,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1737.1 ccm (106.00 cubic inches),"V2, four-stroke",,,9.4:1,101.0 x 108.0 mm (4.0 x 4.3 inches),Injection. Electronic Fuel Injection with dual 45mm throttle body,Single Overhead Cams (SOHC),,Air,6-speed,Belt   (final drive),,"Inverted cartridge telescopic fork, 43 mm diameter, 5.1 in 130 mm travel","Single, mono-tube gas, cast aluminum with constant rate linkage, 4.7 in/120 mm travel, air adjustable spring",130/70-R18 ,180/60-R16 ,Double disc,300 mm (11.8 inches),Single disc,,"667 mm (26.3 inches) If adjustable, lowest setting.",,2652 mm (104.4 inches),,147 mm (5.8 inches),1669 mm (65.7 inches),21.95 litres (5.80 US gallons),,"Solid Black, Solid Midnight Cherry",Electric,"Wet, multi-plate",337.9 kg (745.0 pounds),,,,,,Split dual exhaust with crossover,,4,,,29.0°,,,,5.00 litres (5.28 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Beta RR 4T 450,2010,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",448.0 ccm (27.34 cubic inches),"Single cylinder, four-stroke",,,,89.0 x 72.0 mm (3.5 x 2.8 inches),Carburettor. Keihin FCR-MX 39,Overhead Cams (OHC),"DC-CDI without trembler with variable ignition timing, Kokusan type.",Liquid,6-speed,Chain   (final drive),Molybdenum steel with double cradle split above the exhaust port,Hydraulic USD fork,Monoshock with progressive compound lever,90/90-21 ,140/80-18 ,Single disc. double-piston floating caliper,240 mm (9.4 inches),Single disc. single-piston floating caliper,,"940 mm (37.0 inches) If adjustable, lowest setting.",1255 mm (49.4 inches),,813 mm (32.0 inches),320 mm (12.6 inches),1500 mm (59.1 inches),8.50 litres (2.25 US gallons),1.00 litres (0.26 US gallons),Red/white,Electric,wet multi-disc clutch,117.5 kg (259.0 pounds),,,,,2 oil pumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Snake Furious,2010,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,Liquid,Automatic,Shaft drive (cardan)   (final drive),,Inverted fork,Hydraulic shocks,120/70-12 ,130/70-12 ,Single disc,190 mm (7.5 inches),Single disc,,"805 mm (31.7 inches) If adjustable, lowest setting.",,1725 mm (67.9 inches),665 mm (26.2 inches),,1210 mm (47.6 inches),5.90 litres (1.56 US gallons),,"White, black",Electric,,76.5 kg (168.7 pounds),,,,,,,,,,,,,,,1.20 litres (1.27 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Suzuki B-King ABS,2010,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1340.0 ccm (81.77 cubic inches),"In-line four, four-stroke",,,12.5:1,81.0 x 65.0 mm (3.2 x 2.6 inches),Injection. Suzuki SDTV fuel injection system with dual injectors per cylinder and ram air intake with large volume airbox,Double Overhead Cams/Twin Cam (DOHC),Transistorized,Oil & air,6-speed,,,"Inverted telescopic, coil spring, oil damped","Link type, coil spring, oil damped",120/70-ZR17 ,200/50-ZR17 ,Double disc,,Single disc,,"805 mm (31.7 inches) If adjustable, lowest setting.",,2245 mm (88.4 inches),,120 mm (4.7 inches),1525 mm (60.0 inches),16.50 litres (4.36 US gallons),,"Gray/Silver, Black/Matte Black",Electric,,239.0 kg (526.9 pounds),,,,,Wet sump,4-into-2-into-1 exhaust system with a large capacity catalyzer,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco People 50,2010,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,8.0:1,39.0 x 41.4 mm (1.5 x 1.6 inches),Carburettor,Single Overhead Cams (SOHC),,Air,Automatic,Belt   (final drive),,Telescopic forks,Single shock,70/90-17 ,80/90-17 ,Single disc,,Expanding brake (drum brake),,"787 mm (31.0 inches) If adjustable, lowest setting.",,,,,,5.79 litres (1.53 US gallons),,"Black/Ivory, Blue/Ivory, Green/White, Wineberry, Silver",Electric & kick,"Wet, multiplate",95.5 kg (210.5 pounds),,,,,Oil injected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
